HHID,PN,value_06,value_08
3,10,2,
3,20,2,
10001,10,,
10003,30,1,
10004,10,1,
10004,40,1,
10013,10,3,
10013,40,2,
10038,10,1,
10038,40,1,
10050,10,1,
10059,20,1,
10059,30,,
10063,10,,
10075,20,,2
10075,30,,
10083,10,,
10083,20,,3
10097,40,,3
10109,30,2,
10147,10,1,
10196,10,2,
10206,10,,1
10210,10,,4
10210,20,,5
10225,10,2,
10281,10,,
10281,20,,
10299,10,,1
10299,12,,
10372,10,,3
10394,10,,2
10394,40,,3
10395,10,,1
10395,20,,1
10397,10,,2
10397,40,,1
10404,10,3,
10433,10,,1
10451,10,2,
10451,20,1,
10453,10,1,
10453,20,1,
10458,20,2,
10458,30,1,
10465,10,,
10475,10,,1
10475,11,,1
10477,10,,3
10477,20,,2
10481,10,1,
10481,20,2,
10482,10,,
10533,10,,3
10533,11,,
10537,10,3,
10546,10,2,
10565,20,,1
10568,10,,
10571,10,2,
10577,10,,3
10577,11,,1
10592,10,,3
10600,10,,
10611,10,,
10645,30,,
10645,31,,4
10648,10,2,
10648,20,3,
10652,10,2,
10672,30,,
10672,31,,
10707,10,,5
10707,20,,3
10719,20,,
10719,30,,
10740,10,,
10756,10,,
10756,11,,4
10769,10,1,
10769,40,1,
10773,20,,1
10773,30,,1
10775,20,,
10775,30,,
10776,10,,
10818,10,2,
10818,40,2,
10822,10,,2
10822,40,,3
10893,10,,
10896,10,,
10902,10,3,
10917,10,4,
10941,10,3,
10962,10,,2
10989,10,1,
10989,20,2,
10994,10,,
11010,10,4,
11067,20,1,
11067,30,1,
11071,10,1,
11071,20,3,
11074,20,,2
11141,10,1,
11141,20,1,
11179,10,2,
11179,20,2,
11186,10,1,
11212,10,,
11219,10,,
11230,10,3,
11248,10,3,
11253,10,,2
11256,10,3,
11256,40,3,
11277,10,3,
11323,10,,
11332,10,,1
11332,20,,1
11333,20,2,
11333,30,1,
11341,10,1,
11345,10,,
11345,20,,
11347,20,1,
11347,30,1,
11368,10,,2
11368,20,,2
11377,10,,3
11377,40,,3
11378,10,1,
11378,20,2,
11379,20,3,
11387,20,2,
11423,10,,5
11466,40,,2
11467,10,,4
11477,10,,5
11477,11,,
11479,10,,
11479,40,,1
11506,10,,3
11563,10,,2
11575,10,,
11575,20,3,
11582,20,2,
11590,20,2,
11608,10,1,
11608,40,1,
11611,10,,1
11612,10,,
11620,10,2,
11620,40,3,
11626,10,,3
11626,11,,3
11656,10,,
11667,20,,1
11667,30,,2
11671,10,,
11671,40,,
11678,10,2,
11678,40,,3
11678,41,,1
11690,10,,1
11694,10,,3
11694,20,,
11716,10,,
11765,10,2,
11787,10,,3
11793,10,4,
11798,10,,
11802,10,2,
11825,10,,4
11825,40,,
11841,10,3,
11854,10,3,
11854,20,1,
11856,10,4,
11859,10,,4
11862,20,2,
11862,30,,3
11876,10,3,
11881,10,,1
11881,11,,4
11902,30,,
11902,31,,
11907,10,1,
11907,20,1,
11911,10,,2
11911,40,,2
11932,20,,3
11932,30,,
11933,10,,2
11936,10,,1
11936,11,,1
11937,10,3,
11948,20,,2
11983,40,,1
11993,10,,2
11993,20,,2
11999,10,1,
11999,20,1,
12005,10,2,
12005,40,1,
12009,10,,1
12009,40,,1
12010,10,1,
12010,20,1,
12033,10,,1
12033,11,,1
12045,10,,
12045,11,,3
12094,10,,1
12104,10,,1
12104,20,,1
12106,10,,
12108,10,3,
12112,30,,1
12118,30,,2
12124,20,1,
12124,30,4,
12135,20,,1
12135,30,,1
12145,10,,
12145,20,,1
12161,10,,2
12161,20,,2
12162,10,1,
12166,10,,
12166,40,,
12172,10,,1
12172,20,,1
12174,40,,
12178,10,,
12179,10,,3
12183,10,3,
12195,10,,1
12196,10,,3
12196,20,,3
12218,10,,2
12218,20,,2
12223,20,,2
12232,10,1,
12232,40,1,
12235,10,1,
12235,40,2,
12242,10,3,
12242,20,4,
12243,20,,1
12243,30,,1
12252,20,2,
12273,10,,1
12273,40,,1
12274,10,,1
12274,20,,1
12276,20,,1
12276,30,,1
12280,20,,2
12280,30,,1
12285,10,,2
12292,10,1,
12292,20,,
12302,10,2,
12310,10,2,
12310,11,2,
12315,10,3,
12315,40,2,
12318,10,,1
12319,10,3,
12344,10,,1
12344,20,,2
12393,20,1,
12393,30,3,
12394,10,,3
12401,40,,3
12417,10,,
12418,20,2,
12418,30,2,
12443,10,3,
12443,40,2,
12445,10,2,
12455,10,,
12458,20,3,
12474,40,,2
12479,10,,
12481,10,,3
12481,11,,3
12484,10,2,
12484,20,2,
12494,10,1,
12494,40,1,
12507,10,3,
12510,10,,1
12510,20,,1
12512,10,,1
12512,20,,1
12513,10,,
12513,20,,1
12514,10,,
12514,40,,
12516,10,,2
12516,40,,
12520,40,,
12529,20,,
12543,10,2,
12549,10,,2
12549,11,,3
12549,40,,
12562,10,,
12562,11,,1
12571,20,,1
12573,10,,
12573,11,,3
12574,20,3,
12586,10,3,
12586,20,3,
12588,10,3,
12588,20,1,
12596,10,,1
12596,40,,
12605,10,3,
12605,40,1,
12605,41,1,
12611,10,1,
12611,20,2,
12629,10,2,
12629,11,,
12629,40,,
12648,40,2,
12653,10,3,
12653,40,1,
12666,10,,3
12667,10,1,
12671,10,,
12682,10,,2
12695,20,2,
12695,30,2,
12709,20,5,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,2,
12744,11,1,
12745,10,2,
12745,20,2,
12756,10,,1
12756,11,,1
12761,40,,
12762,10,,
12762,20,,1
12765,10,,1
12786,10,,1
12792,10,2,
12799,20,1,
12799,30,3,
12821,10,,1
12852,30,,2
12854,10,5,
12864,20,1,
12887,10,,
12909,20,1,
12920,10,,
12948,10,,
12964,10,,
12964,40,,
12967,10,,1
12979,10,1,
12979,20,1,
12981,30,,1
12987,10,,
12987,20,3,
13054,40,,
13062,10,,
13063,10,3,
13137,20,3,
13137,21,3,
13140,10,3,
13140,40,3,
13142,10,,1
13142,20,,1
13158,10,1,
13176,20,,
13189,20,2,
13189,30,2,
13194,10,3,
13208,10,2,
13208,40,1,
13211,10,1,
13211,20,1,
13212,10,,
13216,10,,1
13231,10,4,
13231,20,4,
13238,10,1,
13242,10,1,
13257,10,3,
13286,10,,
13286,20,,3
13296,10,,1
13305,30,,
13317,10,,5
13317,40,,4
13318,10,,
13318,20,,
13344,10,,1
13344,40,,1
13371,10,2,
13371,12,3,
13376,10,,
13376,20,,
13387,40,,3
13390,20,3,
13390,21,3,
13392,20,,
13399,10,2,
13418,10,5,
13433,30,4,
13465,10,,
13465,40,,
13518,40,,2
13527,10,,3
13527,20,,1
13547,10,,
13547,20,,2
13552,20,3,
13552,30,1,
13560,10,,
13561,10,,
13561,20,,1
13573,10,2,
13573,20,,
13583,20,,
13583,30,,3
13590,30,1,
13590,40,,
13595,11,,3
13598,10,2,
13598,20,2,
13600,10,,1
13600,20,,1
13601,40,,1
13602,20,1,
13602,30,1,
13612,10,,3
13631,10,,1
13635,10,2,
13635,20,2,
13637,10,3,
13637,40,,
13656,40,3,
13671,10,,
13671,20,,
13699,10,,2
13699,40,,
13734,10,2,
13734,20,2,
13738,10,3,
13738,20,1,
13753,10,,1
13753,20,,1
13757,30,1,
13772,20,1,
13772,30,1,
13784,10,,2
13784,40,,1
13802,20,,3
13813,10,,1
13814,10,,1
13814,40,,2
13815,10,,
13816,10,,
13816,40,,
13817,10,,2
13817,11,,1
13817,40,,2
13817,41,,2
13820,10,,
13820,20,,
13857,10,1,
13857,20,1,
13858,20,,
13858,30,1,
13894,10,2,
13897,10,,1
13899,10,,1
13899,40,1,
13899,41,1,
13902,10,1,
13902,20,1,
13912,10,,2
13912,20,,1
13915,10,,3
13915,11,,1
13916,10,3,
13916,40,3,
13965,10,,
13965,20,,
13974,10,,
14008,10,,
14024,20,2,
14024,30,3,
14028,10,1,
14028,20,2,
14033,10,,1
14036,10,2,
14036,40,,
14043,10,,1
14043,20,,1
14063,10,3,
14063,20,3,
14069,10,1,
14069,20,1,
14072,10,3,
14072,40,2,
14080,20,,
14080,30,,1
14081,10,,
14081,40,,
14085,10,1,
14092,10,1,
14092,40,2,
14098,10,1,
14104,10,,1
14104,20,,1
14115,20,1,
14136,10,3,
14136,40,,
14137,10,,1
14137,20,,2
14147,10,2,
14147,40,1,
14149,20,,1
14149,30,,1
14157,10,3,
14157,40,3,
14159,30,5,
14167,10,,2
14167,40,,1
14179,10,,2
14179,40,,
14188,20,1,
14188,30,3,
14199,20,,1
14202,10,,
14212,10,,3
14212,20,,
14214,10,,2
14215,30,2,
14223,10,,
14224,10,3,
14224,20,,
14234,10,,2
14234,11,,1
14234,41,,1
14244,20,2,
14244,30,1,
14247,10,1,
14247,40,3,
14251,10,2,
14252,10,,3
14259,20,,
14259,30,1,
14270,10,3,
14270,40,3,
14272,10,2,
14272,11,,
14275,10,3,
14307,10,1,
14332,10,2,
14332,11,,
14341,10,,3
14349,10,,3
14349,40,,2
14359,10,,2
14359,20,,1
14397,10,,1
14397,20,,1
14411,10,3,
14420,10,3,
14420,20,3,
14427,10,,1
14428,10,3,
14430,10,,1
14430,20,,1
14433,10,2,
14433,20,2,
14434,20,1,
14434,30,1,
14436,20,2,
14436,21,2,
14449,10,,
14449,40,,
14455,11,,3
14456,10,,1
14456,20,,1
14458,30,,1
14458,31,,1
14535,10,4,
14535,11,,
14553,10,3,
14568,10,1,
14568,20,1,
14587,10,2,
14587,11,2,
14605,10,2,
14605,40,1,
14617,10,1,
14617,20,1,
14619,20,2,
14619,21,2,
14624,10,1,
14624,40,2,
14640,10,,3
14655,30,2,
14670,10,,
14674,10,,2
14681,10,,2
14681,40,,4
14701,10,2,
14711,10,2,
14711,11,2,
14711,12,,
14726,10,,1
14726,40,,2
14736,10,,3
14746,10,2,
14748,20,2,
14754,10,2,
14754,40,,
14756,10,1,
14756,40,1,
14758,20,2,
14758,30,1,
14782,10,2,
14787,10,3,
14830,10,,4
14830,20,,1
14844,10,,1
14852,20,,2
14869,10,2,
14869,20,1,
14872,10,,3
14872,20,,2
14955,10,3,
14955,40,3,
14959,10,1,
14959,20,1,
14996,10,,
15000,10,,
15000,11,,
15015,20,1,
15023,10,,1
15023,40,,1
15048,10,2,
15056,20,1,
15056,30,1,
15080,40,3,
15129,10,1,
15140,10,,
15140,40,,
15148,10,3,
15159,10,2,
15172,10,2,
15172,20,2,
15189,10,,2
15189,40,,2
15195,10,,1
15204,10,2,
15204,20,,
15209,10,3,
15216,10,,2
15225,10,1,
15225,20,1,
15230,10,1,
15230,20,1,
15236,10,2,
15236,40,1,
15257,10,,3
15268,20,3,
15293,10,,
15294,10,,3
15304,20,,
15304,30,,
15332,40,,3
15339,10,,2
15341,40,,1
15344,10,1,
15344,20,1,
15346,20,,1
15346,30,,1
15372,10,1,
15419,10,,3
15429,10,,4
15436,10,,1
15436,20,,1
15440,10,,2
15440,40,,1
15445,10,,2
15445,40,,2
15447,10,1,
15447,20,1,
15469,10,,
15497,10,,1
15497,40,,2
15511,10,3,
15511,40,3,
15514,20,,
15514,30,,1
15516,10,1,
15516,20,1,
15536,10,,3
15536,11,3,
15537,10,,1
15543,10,,1
15543,20,,1
15551,10,,1
15551,20,,2
15560,40,,
15570,40,,2
15588,40,,3
15591,10,,3
15591,20,,3
15593,20,,1
15593,30,,1
15618,10,,
15625,10,4,
15625,20,3,
15636,10,3,
15648,20,,
15648,30,,
15657,10,,1
15658,10,,2
15676,10,,3
15676,40,,2
15698,10,,1
15698,40,,1
15708,10,,1
15709,20,,2
15709,30,,1
15726,10,3,
15726,40,3,
15730,30,,2
15734,40,,
15739,10,,
15739,40,,
15752,10,,
15752,20,,2
15758,10,,
15776,10,5,
15776,20,4,
15779,10,,2
15779,40,,
15781,10,2,
15784,10,4,
15784,20,2,
15793,10,2,
15801,40,,2
15833,10,2,
15833,20,2,
15834,10,1,
15834,11,1,
15836,10,3,
15836,20,1,
15840,20,1,
