HHID,PN,value_06,value_08
3,10,5.75,
3,20,4.75,
10001,10,,4.75
10003,30,1.0,
10004,10,4.75,
10004,40,5.5,
10013,10,3.25,
10013,40,5.75,
10038,10,4.5,
10038,40,4.25,
10050,10,5.0,
10059,20,5.75,
10059,30,,
10075,20,,1.0
10083,10,,
10083,20,,4.25
10097,40,,1.0
10109,30,5.0,
10147,10,4.25,
10196,10,4.0,
10206,10,,
10210,10,,3.75
10210,20,,4.0
10225,10,5.0,
10299,10,,2.25
10299,12,,
10372,10,,
10394,10,,1.25
10394,40,,1.5
10395,10,,1.25
10395,20,,2.75
10397,10,,2.0
10397,40,,2.0
10404,10,4.75,
10433,10,,1.0
10451,10,4.0,
10451,20,5.75,
10453,10,5.5,
10453,20,5.25,
10475,10,,1.25
10475,11,,1.75
10477,10,,2.0
10477,20,,2.75
10481,10,5.0,
10481,20,4.75,
10482,10,,
10533,10,,3.75
10533,11,,
10537,10,2.25,
10565,20,,3.0
10568,10,,
10571,10,7.0,
10577,10,,3.5
10577,11,,1.25
10592,10,,2.5
10645,31,,4.25
10648,10,3.5,
10648,20,,
10652,10,5.0,
10672,31,,
10707,10,,1.0
10707,20,,1.25
10719,20,,
10756,10,,3.0
10756,11,,1.5
10769,10,5.25,
10769,40,4.25,
10773,20,,3.75
10773,30,,3.25
10775,20,,
10775,30,,
10818,10,4.5,
10818,40,5.5,
10822,10,,1.0
10822,40,,1.0
10893,10,,
10896,10,,
10902,10,3.75,
10917,10,2.25,
10941,10,,
10962,10,,2.0
10989,10,1.5,
10989,20,5.5,
10994,10,,
11010,10,4.0,
11067,20,5.0,
11067,30,5.0,
11071,10,2.5,
11071,20,3.25,
11074,20,,1.0
11141,10,5.0,
11141,20,4.75,
11179,10,5.0,
11179,20,4.75,
11186,10,4.5,
11212,10,,
11230,10,4.0,
11248,10,4.5,
11253,10,,4.0
11256,10,1.75,
11256,40,3.25,
11277,10,2.5,
11332,10,,2.5
11332,20,,3.0
11333,20,4.75,
11333,30,5.5,
11341,10,5.5,
11345,10,,
11345,20,,
11347,20,5.25,
11347,30,5.75,
11368,10,,2.5
11368,20,,1.25
11377,10,,4.75
11377,40,,2.0
11378,10,5.75,
11378,20,5.5,
11379,20,4.75,
11387,20,3.75,
11423,10,,6.25
11466,40,,4.0
11467,10,,4.75
11477,10,,5.25
11479,40,,4.25
11506,10,,5.5
11563,10,,3.0
11575,20,4.75,
11582,20,5.5,
11590,20,4.5,
11608,10,5.5,
11608,40,5.75,
11611,10,,2.0
11620,10,5.0,
11620,40,5.5,
11626,10,,1.5
11626,11,,2.25
11656,10,,
11667,20,,3.75
11667,30,,2.5
11678,10,5.25,
11678,40,,2.75
11678,41,,1.0
11690,10,,3.0
11694,10,,3.25
11694,20,,
11716,10,,
11765,10,5.25,
11787,10,,3.75
11793,10,4.0,
11802,10,5.5,
11825,10,,1.25
11841,10,3.75,
11854,10,4.0,
11854,20,4.0,
11856,10,5.25,
11859,10,,6.75
11862,20,3.0,
11862,30,,5.0
11876,10,4.75,
11881,10,,2.75
11881,11,,1.25
11902,30,,
11902,31,,
11911,10,,5.5
11911,40,,1.0
11932,20,,6.5
11933,10,,2.0
11936,10,,1.25
11936,11,,1.0
11937,10,3.5,
11948,20,,1.0
11983,40,,4.75
11993,10,,2.75
11993,20,,2.5
11999,10,4.25,
11999,20,4.25,
12005,10,,
12009,10,,2.0
12009,40,,2.25
12010,10,5.5,
12010,20,5.5,
12033,10,,1.25
12033,11,,1.0
12045,11,,1.0
12094,10,,1.25
12104,10,,4.5
12104,20,,5.25
12112,30,,
12118,30,,1.0
12124,20,4.0,
12124,30,4.75,
12135,20,,1.75
12135,30,,2.0
12145,20,,2.75
12161,10,,3.25
12161,20,,7.0
12162,10,3.25,
12166,10,,
12166,40,,
12172,10,,3.75
12172,20,,4.5
12178,10,,
12179,10,,4.0
12183,10,3.25,
12195,10,,
12196,10,,4.25
12196,20,,5.25
12218,10,,4.0
12218,20,,6.5
12223,20,,1.5
12232,10,7.0,
12232,40,,
12235,10,4.75,
12235,40,5.25,
12242,10,5.5,
12242,20,4.0,
12243,20,,1.5
12243,30,,1.5
12252,20,4.0,
12273,10,,1.5
12273,40,,1.75
12274,10,,1.5
12274,20,,1.5
12276,20,,1.25
12276,30,,1.0
12280,20,,1.5
12280,30,,1.0
12285,10,,
12292,10,5.25,
12302,10,5.5,
12310,10,5.5,
12310,11,4.0,
12315,10,6.25,
12315,40,5.5,
12318,10,,1.5
12319,10,4.75,
12344,10,,2.0
12344,20,,1.25
12393,20,4.5,
12393,30,,
12394,10,,4.75
12401,40,,1.25
12443,10,5.0,
12443,40,5.5,
12445,10,4.5,
12455,10,,
12458,20,3.0,
12474,40,,5.25
12479,10,,
12481,10,,4.75
12481,11,,2.5
12484,10,5.0,
12484,20,4.0,
12494,40,5.0,
12507,10,4.75,
12510,10,,1.25
12510,20,,1.25
12512,10,,1.0
12512,20,,1.25
12513,10,,
12513,20,,1.5
12516,10,,1.5
12516,40,,1.0
12520,40,,
12529,20,,
12543,10,5.5,
12549,10,,2.25
12549,11,,3.25
12549,40,,
12562,11,,1.75
12571,20,,1.0
12573,10,,
12573,11,,4.0
12574,20,5.5,
12586,10,2.5,
12586,20,5.75,
12588,10,5.5,
12588,20,5.5,
12596,10,,1.75
12596,40,,
12605,10,4.5,
12605,40,3.5,
12605,41,3.5,
12611,10,4.0,
12611,20,4.75,
12629,10,4.0,
12629,11,,
12648,40,5.5,
12653,10,4.5,
12653,40,5.5,
12666,10,,1.25
12667,10,5.25,
12671,10,,
12682,10,,1.0
12695,20,4.75,
12695,30,5.5,
12709,20,4.0,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,4.75,
12744,11,6.0,
12745,10,4.25,
12745,20,4.5,
12756,10,,1.75
12756,11,,1.75
12762,20,,5.0
12765,10,,2.75
12786,10,,1.25
12792,10,5.25,
12821,10,,2.25
12852,30,,3.25
12854,10,6.0,
12864,20,5.25,
12887,10,,
12909,20,4.0,
12920,10,2.5,
12964,40,,
12967,10,,2.25
12979,10,5.5,
12979,20,6.0,
12981,30,,1.0
12987,20,5.5,
13054,40,,
13062,10,,3.0
13063,10,5.5,
13137,20,3.25,
13137,21,3.75,
13140,10,5.5,
13140,40,5.0,
13142,10,,5.75
13142,20,,5.75
13158,10,4.5,
13176,20,5.5,
13189,20,4.0,
13189,30,5.5,
13194,10,5.0,
13208,10,1.75,
13208,40,1.75,
13211,10,5.25,
13211,20,5.5,
13216,10,,2.0
13231,10,4.75,
13231,20,3.75,
13238,10,4.75,
13242,10,2.5,
13257,10,4.25,
13286,10,,6.0
13286,20,,4.0
13296,10,,4.0
13305,30,,
13317,10,,3.25
13317,40,,3.0
13318,10,,
13318,20,,
13344,10,,1.5
13344,40,,2.0
13371,10,5.5,
13371,12,5.5,
13387,40,,3.0
13390,20,5.25,
13390,21,5.0,
13392,20,,
13399,10,5.25,
13418,10,5.0,
13433,30,4.0,
13465,10,,
13465,40,,3.0
13518,40,,2.5
13527,10,,3.25
13527,20,,1.0
13547,20,,4.25
13552,20,5.5,
13552,30,5.5,
13560,10,,
13561,20,,1.0
13583,30,,1.0
13590,30,5.25,
13590,40,,
13595,11,,1.0
13598,10,5.75,
13598,20,5.0,
13600,10,,1.0
13600,20,,1.0
13601,40,,1.0
13612,10,,1.5
13631,10,,1.75
13635,10,5.75,
13635,20,5.5,
13637,10,5.25,
13637,40,,
13656,40,5.0,
13671,10,,
13671,20,,
13699,10,,1.0
13734,10,3.75,
13734,20,4.0,
13738,10,5.25,
13738,20,5.5,
13753,10,,2.0
13753,20,,2.25
13757,30,5.0,
13772,20,4.0,
13772,30,4.0,
13784,10,,1.0
13784,40,,1.75
13802,20,,2.25
13813,10,,1.75
13814,10,,1.5
13814,40,,2.75
13815,10,,
13816,10,,
13816,40,,
13817,10,,1.75
13817,11,,2.25
13817,40,,1.25
13817,41,,1.0
13820,10,,
13820,20,,
13857,10,3.5,
13857,20,1.5,
13858,20,,
13858,30,4.5,
13897,10,,6.0
13899,10,,
13899,40,5.5,
