HHID,PN,value_06,value_08
3,10,1.25,
3,20,3.25,
10001,10,,2.5
10003,30,1.0,
10004,10,4.0,
10004,40,1.0,
10013,10,3.25,
10013,40,4.25,
10038,10,2.0,
10038,40,1.5,
10050,10,4.0,
10059,20,1.5,
10059,30,,
10075,20,,1.25
10083,10,,
10083,20,,2.5
10097,40,,1.0
10109,30,1.75,
10147,10,4.75,
10196,10,4.0,
10206,10,,
10210,10,,4.25
10210,20,,5.25
10225,10,2.75,
10299,10,,2.75
10299,12,,
10372,10,,
10394,10,,1.75
10394,40,,1.75
10395,10,,2.0
10395,20,,2.25
10397,10,,2.25
10397,40,,1.75
10404,10,2.0,
10433,10,,1.0
10451,10,1.25,
10451,20,2.75,
10453,10,1.0,
10453,20,1.25,
10475,10,,2.0
10475,11,,2.0
10477,10,,1.75
10477,20,,1.5
10481,10,2.5,
10481,20,2.75,
10482,10,,
10533,10,,3.25
10533,11,,
10537,10,2.75,
10565,20,,3.0
10568,10,,
10571,10,6.75,
10577,10,,4.5
10577,11,,3.25
10592,10,,1.5
10645,31,,4.5
10648,10,2.5,
10648,20,,
10652,10,1.25,
10672,31,,
10707,10,,2.5
10707,20,,1.75
10719,20,,
10756,10,,3.0
10756,11,,2.5
10769,10,2.75,
10769,40,1.75,
10773,20,,3.75
10773,30,,3.0
10775,20,,
10775,30,,
10818,10,2.5,
10818,40,1.5,
10822,10,,1.0
10822,40,,2.25
10893,10,,
10896,10,,
10902,10,3.25,
10917,10,2.0,
10941,10,2.5,
10962,10,,1.75
10989,10,2.75,
10989,20,2.5,
10994,10,,
11010,10,2.75,
11067,20,1.0,
11067,30,2.25,
11071,10,3.75,
11071,20,1.0,
11074,20,,1.0
11141,10,3.0,
11141,20,2.0,
11179,10,1.75,
11179,20,2.0,
11186,10,3.75,
11212,10,,
11230,10,4.25,
11248,10,2.25,
11253,10,,3.5
11256,10,3.75,
11256,40,3.75,
11277,10,1.0,
11332,10,,1.75
11332,20,,2.0
11333,20,2.0,
11333,30,1.25,
11341,10,3.0,
11345,10,,
11345,20,,
11347,20,1.75,
11347,30,2.25,
11368,10,,1.5
11368,20,,3.75
11377,10,,4.5
11377,40,,1.25
11378,10,2.5,
11378,20,1.0,
11379,20,1.5,
11387,20,1.0,
11423,10,,3.75
11466,40,,3.5
11467,10,,6.0
11477,10,,5.5
11479,40,,3.5
11506,10,,4.0
11563,10,,3.0
11575,20,2.25,
11582,20,2.5,
11590,20,2.0,
11608,10,1.0,
11608,40,1.0,
11611,10,,2.5
11620,10,1.75,
11620,40,1.25,
11626,10,,2.5
11626,11,,4.5
11656,10,,
11667,20,,2.75
11667,30,,2.5
11678,10,2.75,
11678,40,,3.5
11678,41,,1.0
11690,10,,3.0
11694,10,,4.5
11694,20,,
11716,10,,
11765,10,3.5,
11787,10,,3.25
11793,10,2.25,
11802,10,1.0,
11825,10,,1.0
11841,10,1.25,
11854,10,2.5,
11854,20,2.5,
11856,10,5.25,
11859,10,,5.5
11862,20,2.0,
11862,30,,4.75
11876,10,2.25,
11881,10,,5.25
11881,11,,1.25
11902,30,,
11902,31,,
11911,10,,6.0
11911,40,,1.25
11932,20,,7.0
11933,10,,1.5
11936,10,,2.0
11936,11,,1.0
11937,10,2.0,
11948,20,,1.0
11983,40,,2.75
11993,10,,2.75
11993,20,,2.0
11999,10,1.25,
11999,20,1.0,
12005,10,,
12009,10,,1.5
12009,40,,2.25
12010,10,1.25,
12010,20,1.25,
12033,10,,1.25
12033,11,,1.0
12045,11,,1.0
12094,10,,1.25
12104,10,,2.75
12104,20,,3.5
12112,30,,
12118,30,,2.5
12124,20,2.75,
12124,30,5.5,
12135,20,,1.25
12135,30,,1.25
12145,20,,3.0
12161,10,,4.25
12161,20,,1.5
12162,10,2.25,
12166,10,,
12166,40,,
12172,10,,4.25
12172,20,,4.25
12178,10,,
12179,10,,4.0
12183,10,3.75,
12195,10,,
12196,10,,4.0
12196,20,,4.5
12218,10,,2.25
12218,20,,5.5
12223,20,,2.0
12232,10,5.25,
12232,40,,
12235,10,1.75,
12235,40,2.25,
12242,10,4.5,
12242,20,1.25,
12243,20,,1.5
12243,30,,2.0
12252,20,1.25,
12273,10,,1.75
12273,40,,2.5
12274,10,,3.0
12274,20,,1.25
12276,20,,1.0
12276,30,,1.0
12280,20,,1.5
12280,30,,1.5
12285,10,,
12292,10,1.0,
12302,10,2.0,
12310,10,4.0,
12310,11,4.0,
12315,10,5.75,
12315,40,3.5,
12318,10,,1.5
12319,10,4.5,
12344,10,,2.75
12344,20,,2.0
12393,20,1.25,
12393,30,,
12394,10,,3.5
12401,40,,2.25
12443,10,5.0,
12443,40,2.0,
12445,10,2.75,
12455,10,,
12458,20,2.5,
12474,40,,5.5
12479,10,,
12481,10,,5.0
12481,11,,3.25
12484,10,5.25,
12484,20,4.75,
12494,40,2.5,
12507,10,2.0,
12510,10,,1.25
12510,20,,1.25
12512,10,,1.25
12512,20,,1.0
12513,10,,
12513,20,,2.0
12516,10,,1.5
12516,40,,1.0
12520,40,,
12529,20,,
12543,10,1.75,
12549,10,,3.25
12549,11,,3.75
12549,40,,
12562,11,,3.25
12571,20,,1.25
12573,10,,
12573,11,,4.0
12574,20,1.0,
12586,10,2.0,
12586,20,2.25,
12588,10,1.5,
12588,20,1.25,
12596,10,,3.0
12596,40,,
12605,10,3.0,
12605,40,6.0,
12605,41,6.0,
12611,10,3.75,
12611,20,4.5,
12629,10,2.0,
12629,11,,
12648,40,1.5,
12653,10,2.25,
12653,40,1.0,
12666,10,,1.5
12667,10,2.5,
12671,10,,
12682,10,,1.0
12695,20,1.0,
12695,30,2.0,
12709,20,1.0,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,4.0,
12744,11,3.25,
12745,10,4.5,
12745,20,2.5,
12756,10,,3.25
12756,11,,2.75
12762,20,,2.5
12765,10,,3.5
12786,10,,2.0
12792,10,2.75,
12821,10,,1.75
12852,30,,3.75
12854,10,3.75,
12864,20,3.5,
12887,10,,
12909,20,2.5,
12920,10,2.5,
12964,40,,
12967,10,,2.25
12979,10,1.0,
12979,20,6.5,
12981,30,,1.0
12987,20,1.0,
13054,40,,
13062,10,,3.5
13063,10,1.0,
