HHID,PN,value_06,value_08
3,10,1.0,
3,20,1.6666666666666667,
10001,10,,
10003,30,4.0,
10004,10,1.0,
10004,40,,
10013,10,4.0,
10013,40,2.0,
10038,10,1.6666666666666667,
10038,40,1.0,
10050,10,,
10059,20,1.3333333333333333,
10059,30,,
10075,20,,1.0
10083,10,,
10083,20,,2.6666666666666665
10097,40,,1.0
10109,30,1.3333333333333333,
10147,10,1.0,
10196,10,1.6666666666666667,
10206,10,,2.0
10210,10,,1.0
10210,20,,2.0
10225,10,3.0,
10299,10,,3.3333333333333335
10299,12,,
10372,10,,2.3333333333333335
10394,10,,1.0
10394,40,,2.3333333333333335
10395,10,,1.6666666666666667
10395,20,,1.0
10397,10,,2.0
10397,40,,1.6666666666666667
10404,10,1.0,
10433,10,,1.6666666666666667
10451,10,1.6666666666666667,
10451,20,3.3333333333333335,
10453,10,1.6666666666666667,
10453,20,2.0,
10475,10,,1.6666666666666667
10475,11,,4.0
10477,10,,1.0
10477,20,,1.0
10481,10,2.3333333333333335,
10481,20,2.6666666666666665,
10482,10,,
10533,10,,2.3333333333333335
10533,11,,
10537,10,1.6666666666666667,
10565,20,,1.0
10568,10,,
10571,10,1.0,
10577,10,,1.6666666666666667
10577,11,,1.0
10592,10,,1.6666666666666667
10645,31,,2.0
10648,10,3.0,
10648,20,,
10652,10,1.0,
10672,31,,
10707,10,,1.6666666666666667
10707,20,,2.0
10719,20,,
10756,10,,1.6666666666666667
10756,11,,1.0
10769,10,2.6666666666666665,
10769,40,1.0,
10773,20,,
10773,30,,
10775,20,,1.0
10775,30,,1.6666666666666667
10818,10,4.0,
10818,40,1.6666666666666667,
10822,10,,1.3333333333333333
10822,40,,1.6666666666666667
10893,10,,
10896,10,,
10902,10,1.3333333333333333,
10917,10,2.0,
10941,10,1.0,
10962,10,,1.3333333333333333
10989,10,1.3333333333333333,
10989,20,1.3333333333333333,
10994,10,,
11010,10,,
11067,20,,
11067,30,,
11071,10,2.0,
11071,20,3.0,
11074,20,,2.6666666666666665
11141,10,1.0,
11141,20,1.3333333333333333,
11179,10,2.0,
11179,20,1.3333333333333333,
11186,10,1.0,
11212,10,,
11230,10,1.3333333333333333,
11248,10,3.3333333333333335,
11253,10,,2.0
11256,10,,
11256,40,,
11277,10,2.3333333333333335,
11332,10,,1.3333333333333333
11332,20,,2.3333333333333335
11333,20,2.3333333333333335,
11333,30,1.3333333333333333,
11341,10,1.6666666666666667,
11345,10,,
11345,20,,
11347,20,2.6666666666666665,
11347,30,2.3333333333333335,
11368,10,,
11368,20,,3.3333333333333335
11377,10,,2.0
11377,40,,2.6666666666666665
11378,10,2.0,
11378,20,1.0,
11379,20,2.6666666666666665,
11387,20,,
11423,10,,4.0
11466,40,,1.3333333333333333
11467,10,,
11477,10,,2.0
11479,40,,1.0
11506,10,,1.6666666666666667
11563,10,,2.0
11575,20,1.6666666666666667,
11582,20,2.0,
11590,20,1.3333333333333333,
11608,10,1.6666666666666667,
11608,40,1.0,
11611,10,,1.6666666666666667
11620,10,2.6666666666666665,
11620,40,2.3333333333333335,
11626,10,,2.6666666666666665
11626,11,,2.3333333333333335
11656,10,,
11667,20,,3.0
11667,30,,2.0
11678,10,1.0,
11678,40,,4.0
11678,41,,1.0
11690,10,,1.0
11694,10,,1.0
11694,20,,
11716,10,,
11765,10,,
11787,10,,1.3333333333333333
11793,10,1.0,
11802,10,2.3333333333333335,
11825,10,,1.0
11841,10,1.3333333333333333,
11854,10,1.3333333333333333,
11854,20,1.0,
11856,10,2.6666666666666665,
11859,10,,2.0
11862,20,1.3333333333333333,
11862,30,,3.6666666666666665
11876,10,1.0,
11881,10,,1.3333333333333333
11881,11,,1.0
11902,30,,
11902,31,,
11911,10,,1.3333333333333333
11911,40,,1.6666666666666667
11932,20,,1.0
11933,10,,1.0
11936,10,,1.3333333333333333
11936,11,,2.6666666666666665
11937,10,2.0,
11948,20,,3.0
11983,40,,2.6666666666666665
11993,10,,2.6666666666666665
11993,20,,2.0
11999,10,1.0,
11999,20,1.0,
12005,10,1.6666666666666667,
12009,10,,1.6666666666666667
12009,40,,2.0
12010,10,1.0,
12010,20,1.6666666666666667,
12033,10,,1.0
12033,11,,1.0
12045,11,,1.0
12094,10,,1.6666666666666667
12104,10,,
12104,20,,4.0
12112,30,,1.3333333333333333
12118,30,,1.0
12124,20,1.0,
12124,30,1.0,
12135,20,,2.3333333333333335
12135,30,,2.3333333333333335
12145,20,,1.0
12161,10,,1.0
12161,20,,1.3333333333333333
12162,10,,
12166,10,,
12166,40,,
12172,10,,1.0
12172,20,,2.3333333333333335
12178,10,,
12179,10,,
12183,10,1.0,
12195,10,,1.6666666666666667
12196,10,,
12196,20,,2.0
12218,10,,1.3333333333333333
12218,20,,2.0
12223,20,,2.0
12232,10,2.6666666666666665,
12232,40,2.3333333333333335,
12235,10,2.0,
12235,40,1.0,
12242,10,1.6666666666666667,
12242,20,1.0,
12243,20,,1.3333333333333333
12243,30,,1.0
12252,20,2.0,
12273,10,,1.6666666666666667
12273,40,,1.6666666666666667
12274,10,,2.6666666666666665
12274,20,,2.3333333333333335
12276,20,,1.0
12276,30,,1.0
12280,20,,2.6666666666666665
12280,30,,1.0
12285,10,,1.3333333333333333
12292,10,1.6666666666666667,
12302,10,,
12310,10,3.3333333333333335,
12310,11,,
12315,10,2.6666666666666665,
12315,40,3.3333333333333335,
12318,10,,1.0
12319,10,1.0,
12344,10,,1.0
12344,20,,1.3333333333333333
12393,20,2.0,
12393,30,2.3333333333333335,
12394,10,,1.3333333333333333
12401,40,,1.6666666666666667
12443,10,2.0,
12443,40,2.0,
12445,10,1.0,
12455,10,,
12458,20,1.0,
12474,40,,1.0
12479,10,,
12481,10,,
12481,11,,
12484,10,1.3333333333333333,
12484,20,1.6666666666666667,
12494,40,,
12507,10,,
12510,10,,1.3333333333333333
12510,20,,1.0
12512,10,,1.6666666666666667
12512,20,,1.0
12513,10,,
12513,20,,1.3333333333333333
12516,10,,2.0
12516,40,,1.6666666666666667
12520,40,,
12529,20,,
12543,10,,
12549,10,,1.6666666666666667
12549,11,,
12549,40,,
12562,11,,1.6666666666666667
12571,20,,1.6666666666666667
12573,10,,
12573,11,,1.6666666666666667
12574,20,1.0,
12586,10,1.6666666666666667,
12586,20,1.0,
12588,10,1.3333333333333333,
12588,20,1.0,
12596,10,,3.0
12596,40,,
12605,10,2.3333333333333335,
12605,40,1.0,
12605,41,1.0,
12611,10,1.3333333333333333,
12611,20,1.0,
12629,10,1.6666666666666667,
12629,11,,
12648,40,,
12653,10,2.0,
12653,40,2.3333333333333335,
12666,10,,2.0
12667,10,1.0,
12671,10,,
12682,10,,1.0
12695,20,1.6666666666666667,
12695,30,1.0,
12709,20,1.3333333333333333,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,2.0,
12744,11,2.3333333333333335,
12745,10,2.0,
12745,20,1.0,
12756,10,,
12756,11,,3.0
12762,20,,2.0
12765,10,,1.3333333333333333
12786,10,,
12792,10,,
12821,10,,
12852,30,,1.6666666666666667
12854,10,4.0,
12864,20,1.0,
12887,10,,
12909,20,,
12920,10,,
12964,40,,
12967,10,,1.0
12979,10,2.0,
12979,20,1.0,
12981,30,,1.0
12987,20,2.0,
13054,40,,
13062,10,,1.6666666666666667
13063,10,,
13137,20,1.6666666666666667,
13137,21,1.6666666666666667,
13140,10,1.0,
13140,40,1.0,
13142,10,,1.3333333333333333
13142,20,,1.0
13158,10,1.6666666666666667,
13176,20,1.0,
13189,20,2.0,
13189,30,1.6666666666666667,
13194,10,1.0,
13208,10,2.0,
13208,40,1.3333333333333333,
13211,10,1.0,
13211,20,1.0,
13216,10,,1.0
13231,10,2.0,
13231,20,3.0,
13238,10,,
13242,10,1.3333333333333333,
13257,10,2.3333333333333335,
13286,10,,3.0
13286,20,,
13296,10,,
13305,30,,
13317,10,,1.0
13317,40,,1.3333333333333333
13318,10,,
13318,20,,
13344,10,,
13344,40,,
13371,10,1.0,
13371,12,2.3333333333333335,
13387,40,,1.3333333333333333
13390,20,2.3333333333333335,
13390,21,3.3333333333333335,
13392,20,,
13399,10,1.6666666666666667,
13418,10,1.6666666666666667,
13433,30,3.0,
13465,10,,
13465,40,,2.3333333333333335
13518,40,,1.3333333333333333
13527,10,,2.0
13527,20,,1.6666666666666667
13547,20,,1.6666666666666667
13552,20,1.6666666666666667,
13552,30,1.3333333333333333,
13560,10,,
13561,20,,1.0
13583,30,,1.6666666666666667
13590,30,1.3333333333333333,
13590,40,2.0,
13595,11,,3.0
13598,10,1.0,
13598,20,1.6666666666666667,
13600,10,,1.0
13600,20,,1.0
13601,40,,1.0
13612,10,,1.0
13631,10,,1.3333333333333333
13635,10,,
13635,20,0.6666666666666666,
13637,10,2.0,
13637,40,,
13656,40,3.0,
13671,10,,
13671,20,,
13699,10,,1.3333333333333333
13734,10,1.6666666666666667,
13734,20,1.6666666666666667,
13738,10,2.0,
13738,20,2.0,
13753,10,,1.0
13753,20,,1.3333333333333333
13757,30,1.3333333333333333,
13772,20,1.3333333333333333,
13772,30,1.3333333333333333,
13784,10,,2.0
13784,40,,1.3333333333333333
