HHID,PN,value_06,value_08
3,10,1.0,
3,20,1.0,
10001,10,,
10003,30,3.25,
10004,10,1.25,
10004,40,,
10013,10,1.75,
10013,40,1.5,
10038,10,2.0,
10038,40,1.5,
10050,10,,
10059,20,1.25,
10059,30,,
10075,20,,1.25
10083,10,,
10083,20,,3.0
10097,40,,1.25
10109,30,2.0,
10147,10,1.0,
10196,10,1.5,
10206,10,,2.25
10210,10,,2.5
10210,20,,2.75
10225,10,1.25,
10299,10,,2.25
10299,12,,
10372,10,,2.0
10394,10,,1.75
10394,40,,2.25
10395,10,,1.5
10395,20,,1.75
10397,10,,2.25
10397,40,,1.25
10404,10,1.25,
10433,10,,1.25
10451,10,2.25,
10451,20,2.25,
10453,10,2.25,
10453,20,2.25,
10475,10,,1.25
10475,11,,1.0
10477,10,,1.75
10477,20,,1.75
10481,10,1.5,
10481,20,1.75,
10482,10,,
10533,10,,2.75
10533,11,,
10537,10,1.25,
10565,20,,1.0
10568,10,,
10571,10,1.0,
10577,10,,1.75
10577,11,,2.0
10592,10,,2.25
10645,31,,2.25
10648,10,1.5,
10648,20,,
10652,10,1.75,
10672,31,,
10707,10,,1.0
10707,20,,2.5
10719,20,,
10756,10,,1.5
10756,11,,1.25
10769,10,2.25,
10769,40,1.25,
10773,20,,
10773,30,,
10775,20,,1.0
10775,30,,1.5
10818,10,3.5,
10818,40,2.0,
10822,10,,2.5
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,1.75,
10917,10,2.25,
10941,10,1.25,
10962,10,,1.5
10989,10,1.75,
10989,20,1.25,
10994,10,,
11010,10,,
11067,20,,
11067,30,,
11071,10,1.75,
11071,20,1.0,
11074,20,,1.25
11141,10,1.0,
11141,20,1.25,
11179,10,2.5,
11179,20,1.75,
11186,10,1.0,
11212,10,,
11230,10,1.25,
11248,10,2.75,
11253,10,,2.75
11256,10,,
11256,40,,
11277,10,1.0,
11332,10,,2.0
11332,20,,1.75
11333,20,1.75,
11333,30,2.0,
11341,10,1.5,
11345,10,,
11345,20,,
11347,20,1.75,
11347,30,2.0,
11368,10,,
11368,20,,3.0
11377,10,,2.0
11377,40,,2.75
11378,10,1.75,
11378,20,1.0,
11379,20,2.0,
11387,20,,
11423,10,,2.5
11466,40,,2.5
11467,10,,
11477,10,,1.0
11479,40,,1.0
11506,10,,2.0
11563,10,,2.0
11575,20,1.5,
11582,20,1.25,
11590,20,1.25,
11608,10,1.5,
11608,40,1.0,
11611,10,,2.0
11620,10,2.25,
11620,40,2.25,
11626,10,,1.5
11626,11,,2.75
11656,10,,
11667,20,,2.75
11667,30,,2.0
11678,10,2.0,
11678,40,,2.0
11678,41,,1.0
11690,10,,1.25
11694,10,,1.25
11694,20,,
11716,10,,
11765,10,,
11787,10,,1.75
11793,10,1.0,
11802,10,2.0,
11825,10,,3.0
11841,10,1.0,
11854,10,2.75,
11854,20,1.5,
11856,10,2.0,
11859,10,,3.5
11862,20,1.0,
11862,30,,1.5
11876,10,2.25,
11881,10,,1.5
11881,11,,2.25
11902,30,,
11902,31,,
11911,10,,1.0
11911,40,,2.75
11932,20,,1.5
11933,10,,1.25
11936,10,,1.75
11936,11,,2.25
11937,10,1.5,
11948,20,,2.5
11983,40,,1.25
11993,10,,3.0
11993,20,,2.25
11999,10,1.25,
11999,20,1.0,
12005,10,1.5,
12009,10,,1.5
12009,40,,1.75
12010,10,1.25,
12010,20,0.75,
12033,10,,1.5
12033,11,,1.0
12045,11,,2.5
12094,10,,1.0
12104,10,,
12104,20,,2.25
12112,30,,1.5
12118,30,,1.75
12124,20,1.25,
12124,30,2.0,
12135,20,,1.75
12135,30,,2.25
12145,20,,1.0
12161,10,,1.25
12161,20,,1.5
12162,10,,
12166,10,,
12166,40,,
12172,10,,1.25
12172,20,,1.5
12178,10,,
12179,10,,
12183,10,2.25,
12195,10,,2.0
12196,10,,
12196,20,,1.0
12218,10,,1.0
12218,20,,1.25
12223,20,,1.0
12232,10,1.75,
12232,40,3.75,
12235,10,1.25,
12235,40,2.25,
12242,10,1.75,
12242,20,1.0,
12243,20,,1.5
12243,30,,1.75
12252,20,1.75,
12273,10,,1.5
12273,40,,2.25
12274,10,,1.25
12274,20,,2.0
12276,20,,1.25
12276,30,,1.0
12280,20,,1.0
12280,30,,1.0
12285,10,,1.75
12292,10,1.5,
12302,10,,
12310,10,1.75,
12310,11,,
12315,10,3.0,
12315,40,2.5,
12318,10,,1.25
12319,10,1.0,
12344,10,,1.5
12344,20,,1.25
12393,20,2.0,
12393,30,1.5,
12394,10,,2.0
12401,40,,2.25
12443,10,1.75,
12443,40,2.25,
12445,10,,
12455,10,,
12458,20,1.5,
12474,40,,2.0
12479,10,,
12481,10,,
12481,11,,
12484,10,1.5,
12484,20,1.5,
12494,40,,
12507,10,,
12510,10,,1.5
12510,20,,1.0
12512,10,,2.0
12512,20,,1.5
12513,10,,
12513,20,,1.75
12516,10,,3.25
12516,40,,1.5
12520,40,,
12529,20,,
12543,10,,
12549,10,,2.0
12549,11,,
12549,40,,
12562,11,,1.25
12571,20,,1.25
12573,10,,
12573,11,,2.0
12574,20,1.25,
12586,10,1.75,
12586,20,1.5,
12588,10,1.0,
12588,20,1.0,
12596,10,,1.0
12596,40,,
12605,10,2.0,
12605,40,1.25,
12605,41,1.25,
12611,10,2.5,
12611,20,1.0,
12629,10,1.25,
12629,11,,
12648,40,,
12653,10,1.5,
12653,40,1.75,
12666,10,,1.75
12667,10,1.25,
12671,10,,
12682,10,,1.75
12695,20,2.0,
12695,30,2.0,
12709,20,1.5,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,1.75,
12744,11,2.5,
12745,10,2.0,
12745,20,1.25,
12756,10,,
12756,11,,1.25
12762,20,,2.0
12765,10,,1.0
12786,10,,
12792,10,,
12821,10,,
12852,30,,2.0
12854,10,3.25,
12864,20,1.5,
12887,10,,
12909,20,,
12920,10,,
12964,40,,
12967,10,,1.75
12979,10,2.25,
12979,20,1.5,
12981,30,,1.0
12987,20,1.25,
13054,40,,
13062,10,,2.0
13063,10,,
13137,20,1.25,
13137,21,1.75,
13140,10,1.0,
13140,40,1.5,
13142,10,,1.0
13142,20,,1.0
13158,10,2.0,
13176,20,2.25,
13189,20,1.25,
13189,30,1.25,
13194,10,1.0,
13208,10,1.75,
13208,40,1.0,
13211,10,1.0,
13211,20,2.0,
13216,10,,1.0
13231,10,1.0,
13231,20,2.75,
13238,10,,
13242,10,1.5,
13257,10,2.5,
13286,10,,2.25
13286,20,,
13296,10,,
13305,30,,
13317,10,,1.75
13317,40,,2.0
13318,10,,
13318,20,,
13344,10,,
13344,40,,
13371,10,1.0,
13371,12,1.0,
13387,40,,1.0
13390,20,1.5,
13390,21,2.25,
13392,20,,
13399,10,2.0,
13418,10,1.75,
13433,30,2.25,
13465,10,,
13465,40,,2.25
13518,40,,1.75
13527,10,,2.5
13527,20,,1.75
13547,20,,1.25
13552,20,1.5,
13552,30,1.0,
13560,10,,
13561,20,,1.0
13583,30,,1.0
13590,30,1.25,
13590,40,1.5,
13595,11,,2.25
13598,10,1.0,
13598,20,2.25,
13600,10,,1.0
13600,20,,1.75
13601,40,,1.25
13612,10,,1.5
13631,10,,1.5
13635,10,,
