HHID,PN,value_06,value_08
3,10,1.0,
3,20,1.0,
10001,10,,1.25
10003,30,2.5,
10004,10,1.25,
10004,40,1.5,
10013,10,2.25,
10013,40,1.0,
10038,10,1.0,
10038,40,1.5,
10050,10,1.5,
10059,20,2.0,
10059,30,,
10075,20,,1.25
10083,10,,
10083,20,,2.5
10097,40,,1.0
10109,30,1.25,
10147,10,1.0,
10196,10,1.25,
10206,10,,
10210,10,,2.25
10210,20,,
10225,10,2.0,
10299,10,,1.5
10299,12,,
10372,10,,1.75
10394,10,,1.25
10394,40,,1.25
10395,10,,1.5
10395,20,,1.75
10397,10,,1.5
10397,40,,1.0
10404,10,1.0,
10433,10,,1.25
10451,10,1.5,
10451,20,1.5,
10453,10,1.75,
10453,20,2.0,
10475,10,,1.0
10475,11,,
10477,10,,1.0
10477,20,,1.0
10481,10,2.0,
10481,20,3.0,
10482,10,,
10533,10,,2.0
10533,11,,
10537,10,1.25,
10565,20,,1.0
10568,10,,
10571,10,1.0,
10577,10,,1.75
10577,11,,1.75
10592,10,,1.75
10645,31,,2.75
10648,10,1.5,
10648,20,1.75,
10652,10,1.25,
10672,31,,
10707,10,,1.0
10707,20,,1.5
10719,20,,
10756,10,,1.75
10756,11,,1.25
10769,10,1.25,
10769,40,1.25,
10773,20,,1.5
10773,30,,1.5
10775,20,,
10775,30,,2.0
10818,10,1.25,
10818,40,1.5,
10822,10,,2.5
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,1.0,
10917,10,2.25,
10941,10,1.25,
10962,10,,
10989,10,1.25,
10989,20,1.25,
10994,10,,
11010,10,1.25,
11067,20,1.0,
11067,30,1.0,
11071,10,1.75,
11071,20,1.0,
11074,20,,
11141,10,1.0,
11141,20,1.75,
11179,10,2.0,
11179,20,1.5,
11186,10,1.0,
11212,10,,
11230,10,1.0,
11248,10,3.5,
11253,10,,3.0
11256,10,2.75,
11256,40,2.5,
11277,10,1.75,
11332,10,,2.5
11332,20,,1.5
11333,20,2.0,
11333,30,2.25,
11341,10,1.0,
11345,10,,
11345,20,,
11347,20,1.25,
11347,30,1.0,
11368,10,,1.0
11368,20,,3.25
11377,10,,2.0
11377,40,,2.75
11378,10,1.5,
11378,20,1.0,
11379,20,,
11387,20,,
11423,10,,3.0
11466,40,,3.25
11467,10,,1.0
11477,10,,1.75
11479,40,,1.0
11506,10,,2.0
11563,10,,1.75
11575,20,2.25,
11582,20,1.0,
11590,20,1.75,
11608,10,1.0,
11608,40,1.0,
11611,10,,1.5
11620,10,1.25,
11620,40,1.0,
11626,10,,1.0
11626,11,,1.75
11656,10,,
11667,20,,2.5
11667,30,,1.0
11678,10,2.0,
11678,40,,
11678,41,,1.0
11690,10,,1.0
11694,10,,
11694,20,,
11716,10,,
11765,10,,
11787,10,,1.75
11793,10,1.0,
11802,10,1.5,
11825,10,,2.5
11841,10,1.25,
11854,10,2.5,
11854,20,1.5,
11856,10,1.25,
11859,10,,3.0
11862,20,1.0,
11862,30,,1.25
11876,10,2.0,
11881,10,,1.5
11881,11,,1.5
11902,30,,
11902,31,,
11911,10,,1.0
11911,40,,1.25
11932,20,,1.0
11933,10,,1.0
11936,10,,1.0
11936,11,,
11937,10,1.25,
11948,20,,1.0
11983,40,,
11993,10,,2.5
11993,20,,1.75
11999,10,1.25,
11999,20,1.0,
12005,10,1.0,
12009,10,,1.5
12009,40,,1.5
12010,10,1.0,
12010,20,1.5,
12033,10,,1.5
12033,11,,1.0
12045,11,,1.25
12094,10,,1.0
12104,10,,1.75
12104,20,,2.75
12112,30,,
12118,30,,1.0
12124,20,2.25,
12124,30,2.0,
12135,20,,
12135,30,,
12145,20,,1.0
12161,10,,1.0
12161,20,,2.0
12162,10,2.0,
12166,10,,
12166,40,,
12172,10,,1.5
12172,20,,1.0
12178,10,,
12179,10,,1.5
12183,10,1.0,
12195,10,,2.0
12196,10,,1.25
12196,20,,2.5
12218,10,,1.0
12218,20,,1.25
12223,20,,1.0
12232,10,1.5,
12232,40,,
12235,10,1.0,
12235,40,2.25,
12242,10,1.5,
12242,20,1.0,
12243,20,,1.5
12243,30,,1.75
12252,20,1.25,
12273,10,,1.5
12273,40,,1.0
12274,10,,1.5
12274,20,,1.0
12276,20,,1.0
12276,30,,1.75
12280,20,,1.0
12280,30,,1.25
12285,10,,
12292,10,1.5,
12302,10,2.0,
12310,10,2.25,
12310,11,3.0,
12315,10,1.25,
12315,40,1.75,
12318,10,,1.0
12319,10,2.0,
12344,10,,1.75
12344,20,,1.5
12393,20,1.0,
12393,30,1.75,
12394,10,,2.0
12401,40,,1.0
12443,10,1.0,
12443,40,2.25,
12445,10,1.5,
12455,10,,
12458,20,1.25,
12474,40,,2.0
12479,10,,
12481,10,,1.25
12481,11,,2.25
12484,10,1.5,
12484,20,1.25,
12494,40,1.25,
12507,10,1.5,
12510,10,,1.5
12510,20,,
12512,10,,1.25
12512,20,,1.0
12513,10,,
12513,20,,2.75
12516,10,,1.25
12516,40,,1.5
12520,40,,
12529,20,,
12543,10,1.0,
12549,10,,1.25
12549,11,,1.75
12549,40,,
12562,11,,1.0
12571,20,,1.75
12573,10,,
12573,11,,1.0
12574,20,1.5,
12586,10,2.25,
12586,20,2.0,
12588,10,1.25,
12588,20,1.0,
12596,10,,1.0
12596,40,,
12605,10,,
12605,40,1.75,
12605,41,1.75,
12611,10,1.25,
12611,20,1.0,
12629,10,2.75,
12629,11,,
12648,40,1.5,
12653,10,2.25,
12653,40,1.25,
12666,10,,2.0
12667,10,1.5,
12671,10,,
12682,10,,2.0
12695,20,1.75,
12695,30,2.0,
12709,20,1.25,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,1.0,
12744,11,2.75,
12745,10,2.0,
12745,20,1.75,
12756,10,,1.0
12756,11,,2.5
12762,20,,1.25
12765,10,,1.0
12786,10,,
12792,10,1.25,
12821,10,,
12852,30,,2.75
12854,10,2.75,
12864,20,1.0,
12887,10,,
12909,20,2.5,
12920,10,1.25,
12964,40,,
12967,10,,1.5
12979,10,2.25,
12979,20,1.0,
12981,30,,1.0
12987,20,1.25,
13054,40,,
13062,10,,2.5
13063,10,1.75,
13137,20,1.5,
13137,21,1.0,
13140,10,1.0,
13140,40,1.25,
13142,10,,1.0
13142,20,,1.0
13158,10,3.0,
13176,20,2.0,
13189,20,1.5,
13189,30,1.25,
13194,10,1.0,
13208,10,1.5,
13208,40,1.75,
13211,10,1.0,
13211,20,1.75,
13216,10,,1.5
13231,10,1.0,
13231,20,2.75,
13238,10,,
13242,10,1.25,
13257,10,1.75,
13286,10,,
13286,20,,1.0
13296,10,,1.0
13305,30,,
13317,10,,1.75
13317,40,,2.25
13318,10,,
13318,20,,
13344,10,,
13344,40,,2.5
13371,10,1.25,
13371,12,1.0,
13387,40,,1.75
13390,20,1.5,
13390,21,1.75,
13392,20,,
13399,10,1.75,
13418,10,2.25,
13433,30,2.0,
13465,10,,
13465,40,,3.25
13518,40,,1.75
13527,10,,2.25
13527,20,,1.75
13547,20,,1.25
13552,20,1.25,
13552,30,1.0,
13560,10,,
13561,20,,1.0
13583,30,,1.0
13590,30,1.5,
13590,40,1.75,
13595,11,,
13598,10,1.0,
13598,20,1.25,
13600,10,,1.0
