HHID,PN,value_06,value_08
3,10,1.0,
3,20,1.3333333333333333,
10001,10,,2.0
10003,30,4.0,
10004,10,1.0,
10004,40,2.0,
10013,10,1.3333333333333333,
10013,40,1.6666666666666667,
10038,10,1.3333333333333333,
10038,40,1.0,
10050,10,2.0,
10059,20,2.0,
10059,30,,
10075,20,,
10083,10,,
10083,20,,2.0
10097,40,,1.0
10109,30,3.0,
10147,10,1.0,
10196,10,2.6666666666666665,
10206,10,,
10210,10,,3.0
10210,20,,1.6666666666666667
10225,10,1.0,
10299,10,,2.6666666666666665
10299,12,,
10372,10,,1.6666666666666667
10394,10,,1.0
10394,40,,2.0
10395,10,,2.3333333333333335
10395,20,,1.0
10397,10,,2.3333333333333335
10397,40,,2.3333333333333335
10404,10,1.0,
10433,10,,3.0
10451,10,1.6666666666666667,
10451,20,3.3333333333333335,
10453,10,1.6666666666666667,
10453,20,2.0,
10475,10,,1.3333333333333333
10475,11,,3.0
10477,10,,3.3333333333333335
10477,20,,2.3333333333333335
10481,10,2.3333333333333335,
10481,20,2.6666666666666665,
10482,10,,
10533,10,,2.0
10533,11,,
10537,10,2.6666666666666665,
10565,20,,1.6666666666666667
10568,10,,
10571,10,4.0,
10577,10,,1.0
10577,11,,1.0
10592,10,,1.6666666666666667
10645,31,,3.3333333333333335
10648,10,3.0,
10648,20,1.3333333333333333,
10652,10,1.0,
10672,31,,
10707,10,,2.6666666666666665
10707,20,,1.0
10719,20,,
10756,10,,2.6666666666666665
10756,11,,2.6666666666666665
10769,10,2.6666666666666665,
10769,40,1.3333333333333333,
10773,20,,3.0
10773,30,,2.3333333333333335
10775,20,,
10775,30,,2.6666666666666665
10818,10,2.0,
10818,40,1.6666666666666667,
10822,10,,1.3333333333333333
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,2.3333333333333335,
10917,10,1.3333333333333333,
10941,10,1.6666666666666667,
10962,10,,1.0
10989,10,2.3333333333333335,
10989,20,1.6666666666666667,
