HHID,PN,value_06,value_08
3,10,2.2,
3,20,2.2,
10001,10,,1.0
10003,30,1.0,
10004,10,1.2,
10004,40,1.6,
10013,10,1.8,
10013,40,2.0,
10038,10,1.8,
10038,40,2.0,
10050,10,2.2,
10059,20,1.6,
10059,30,,
10075,20,,1.0
10083,10,,
10083,20,,2.0
10097,40,,1.0
10109,30,2.0,
10147,10,1.2,
10196,10,2.0,
10206,10,,2.6
10210,10,,1.2
10210,20,,2.0
10225,10,1.6,
10299,10,,1.2
10299,12,,
10372,10,,1.6
10394,10,,1.2
10394,40,,1.4
10395,10,,1.8
10395,20,,1.0
10397,10,,1.4
10397,40,,1.4
10404,10,2.2,
10433,10,,2.0
10451,10,1.4,
10451,20,2.0,
10453,10,1.4,
10453,20,1.6,
10475,10,,1.8
10475,11,,1.8
10477,10,,1.2
10477,20,,1.2
10481,10,2.4,
10481,20,1.2,
10482,10,,
10533,10,,1.2
10533,11,,
10537,10,1.4,
10565,20,,1.0
10568,10,,
10571,10,1.2,
10577,10,,1.0
10577,11,,1.6
10592,10,,1.0
10645,31,,1.0
10648,10,1.6,
10648,20,1.4,
10652,10,1.6,
10672,31,,
10707,10,,1.4
10707,20,,0.8
10719,20,,
10756,10,,1.6
10756,11,,1.6
10769,10,2.4,
10769,40,1.4,
10773,20,,1.0
10773,30,,1.4
10775,20,,
10775,30,,
10818,10,1.6,
10818,40,1.6,
10822,10,,1.6
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,1.8,
10917,10,1.4,
10941,10,2.2,
10962,10,,1.0
10989,10,2.4,
10989,20,2.0,
10994,10,,
11010,10,2.4,
11067,20,1.2,
11067,30,1.6,
11071,10,1.4,
11071,20,1.8,
11074,20,,2.8
11141,10,1.8,
11141,20,1.6,
11179,10,2.0,
11179,20,1.4,
11186,10,1.6,
11212,10,,
11230,10,1.6,
11248,10,1.4,
11253,10,,1.0
11256,10,1.6,
11256,40,1.6,
11277,10,1.0,
11332,10,,1.0
11332,20,,1.4
11333,20,2.0,
11333,30,2.0,
11341,10,2.2,
11345,10,,
11345,20,,
11347,20,1.2,
11347,30,2.6,
