HHID,PN,value_06,value_08
3,10,2.25,
3,20,2.25,
10001,10,,3.5
10003,30,1.75,
10004,10,2.25,
10004,40,2.5,
10013,10,2.5,
10013,40,1.5,
10038,10,2.25,
10038,40,3.0,
10050,10,1.5,
10059,20,2.0,
10059,30,,
10075,20,,3.25
10083,10,,
10083,20,,1.25
10097,40,,3.75
10109,30,2.5,
10147,10,2.0,
10196,10,2.0,
10206,10,,2.75
10210,10,,2.25
10210,20,,1.5
10225,10,2.0,
10299,10,,1.5
10299,12,,
10372,10,,2.75
10394,10,,3.0
10394,40,,2.0
10395,10,,3.0
10395,20,,2.5
10397,10,,3.25
10397,40,,3.5
10404,10,2.0,
10433,10,,2.5
10451,10,1.75,
10451,20,2.5,
10453,10,2.25,
10453,20,2.0,
10475,10,,1.75
10475,11,,2.75
10477,10,,2.75
10477,20,,2.75
10481,10,1.5,
10481,20,1.75,
10482,10,,
10533,10,,3.25
10533,11,,
10537,10,2.25,
10565,20,,4.0
10568,10,,
10571,10,3.0,
10577,10,,3.0
10577,11,,2.75
10592,10,,3.5
10645,31,,2.75
10648,10,2.0,
10648,20,1.75,
10652,10,1.25,
10672,31,,
10707,10,,3.25
10707,20,,3.0
10719,20,,
10756,10,,2.25
10756,11,,3.75
10769,10,2.25,
10769,40,1.75,
10773,20,,2.75
10773,30,,3.0
10775,20,,
10775,30,,
10818,10,2.5,
10818,40,3.25,
10822,10,,3.25
10822,40,,2.25
10893,10,,
10896,10,,
10902,10,2.5,
10917,10,2.0,
10941,10,2.25,
10962,10,,2.25
10989,10,2.5,
10989,20,2.0,
10994,10,,
11010,10,2.75,
11067,20,2.0,
11067,30,1.5,
11071,10,2.0,
11071,20,2.25,
11074,20,,2.25
11141,10,1.75,
11141,20,2.0,
11179,10,2.75,
11179,20,1.75,
11186,10,1.75,
11212,10,,
11230,10,1.75,
11248,10,1.75,
11253,10,,3.5
11256,10,2.25,
11256,40,2.0,
11277,10,2.75,
11332,10,,2.25
11332,20,,4.0
11333,20,2.25,
11333,30,2.5,
11341,10,1.75,
11345,10,,
11345,20,,
11347,20,1.5,
11347,30,2.25,
11368,10,,3.0
11368,20,,1.75
11377,10,,2.5
11377,40,,3.75
11378,10,2.5,
11378,20,2.25,
11379,20,2.25,
11387,20,1.75,
11423,10,,2.0
11466,40,,2.75
11467,10,,3.25
11477,10,,4.0
11479,40,,1.25
11506,10,,3.25
11563,10,,2.75
11575,20,2.5,
11582,20,1.75,
11590,20,2.25,
11608,10,2.0,
11608,40,0.5,
11611,10,,3.5
11620,10,2.5,
11620,40,2.5,
11626,10,,3.0
11626,11,,2.5
11656,10,,
11667,20,,1.75
11667,30,,1.75
11678,10,2.25,
11678,40,,3.0
11678,41,,2.5
11690,10,,2.75
11694,10,,3.5
11694,20,,
11716,10,,
11765,10,2.25,
11787,10,,3.25
11793,10,2.75,
11802,10,2.5,
11825,10,,2.5
11841,10,2.0,
11854,10,2.5,
11854,20,1.75,
11856,10,2.0,
11859,10,,1.5
11862,20,2.0,
11862,30,,2.75
11876,10,2.5,
11881,10,,4.0
11881,11,,2.0
11902,30,,
11902,31,,
11911,10,,3.75
11911,40,,3.25
11932,20,,3.25
11933,10,,3.5
11936,10,,3.5
11936,11,,2.75
11937,10,2.5,
11948,20,,2.5
11983,40,,3.75
11993,10,,2.75
11993,20,,2.25
11999,10,2.0,
11999,20,1.75,
12005,10,2.5,
12009,10,,3.75
12009,40,,2.75
12010,10,1.5,
12010,20,2.0,
12033,10,,2.25
12033,11,,3.75
12045,11,,2.5
12094,10,,3.75
12104,10,,2.5
12104,20,,3.75
12112,30,,3.5
12118,30,,3.25
12124,20,2.75,
12124,30,2.0,
12135,20,,3.5
12135,30,,3.0
12145,20,,2.75
12161,10,,3.25
12161,20,,3.25
12162,10,2.25,
12166,10,,
12166,40,,
12172,10,,3.0
12172,20,,2.5
12178,10,,
12179,10,,3.75
12183,10,2.5,
12195,10,,3.0
12196,10,,2.75
12196,20,,2.75
12218,10,,4.0
12218,20,,2.0
12223,20,,3.5
12232,10,2.0,
12232,40,2.0,
12235,10,1.25,
12235,40,2.5,
12242,10,2.25,
12242,20,2.25,
12243,20,,3.5
12243,30,,3.25
12252,20,2.25,
12273,10,,3.0
12273,40,,3.0
12274,10,,2.5
12274,20,,3.5
12276,20,,2.25
12276,30,,3.25
12280,20,,3.25
12280,30,,3.75
12285,10,,
12292,10,2.25,
12302,10,1.75,
12310,10,2.25,
12310,11,2.25,
12315,10,2.25,
12315,40,2.5,
12318,10,,3.0
12319,10,1.5,
12344,10,,3.75
12344,20,,2.75
12393,20,2.25,
12393,30,,
12394,10,,3.5
12401,40,,3.75
12443,10,2.5,
12443,40,2.0,
12445,10,2.0,
12455,10,,
12458,20,2.25,
12474,40,,2.75
12479,10,,
12481,10,,2.5
12481,11,,2.25
12484,10,2.5,
12484,20,2.25,
12494,40,1.75,
12507,10,2.25,
12510,10,,3.0
12510,20,,3.5
12512,10,,3.5
12512,20,,3.25
12513,10,,
12513,20,,4.0
12516,10,,3.0
12516,40,,3.75
12520,40,,
12529,20,,
12543,10,1.5,
12549,10,,1.75
12549,11,,2.0
12549,40,,
12562,11,,2.75
12571,20,,2.0
12573,10,,
12573,11,,2.5
12574,20,2.75,
12586,10,2.25,
12586,20,2.0,
12588,10,2.0,
12588,20,2.0,
12596,10,,2.25
12596,40,,
12605,10,2.25,
12605,40,1.75,
12605,41,1.75,
12611,10,2.0,
12611,20,2.0,
12629,10,1.5,
12629,11,,
12648,40,2.5,
12653,10,2.25,
12653,40,2.25,
12666,10,,2.0
12667,10,2.0,
12671,10,,
12682,10,,3.5
12695,20,1.75,
12695,30,1.75,
12709,20,1.5,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,2.5,
12744,11,2.5,
12745,10,1.75,
12745,20,2.25,
12756,10,,3.25
12756,11,,3.25
12762,20,,3.0
12765,10,,2.25
12786,10,,4.0
12792,10,1.5,
12821,10,,3.25
12852,30,,3.0
12854,10,2.5,
12864,20,2.75,
12887,10,,
12909,20,2.0,
12920,10,2.0,
12964,40,,
12967,10,,2.5
12979,10,1.75,
12979,20,1.75,
12981,30,,4.0
12987,20,2.0,
13054,40,,
13062,10,,3.0
13063,10,1.75,
13137,20,2.75,
13137,21,1.75,
13140,10,2.75,
13140,40,2.5,
13142,10,,2.5
13142,20,,3.25
13158,10,2.5,
13176,20,1.75,
13189,20,1.75,
13189,30,1.75,
13194,10,2.75,
13208,10,2.75,
13208,40,2.25,
13211,10,2.25,
13211,20,2.0,
13216,10,,3.5
13231,10,1.5,
13231,20,2.5,
13238,10,2.5,
13242,10,1.5,
13257,10,2.25,
13286,10,,2.25
13286,20,,3.25
13296,10,,4.0
13305,30,,
13317,10,,2.0
13317,40,,2.25
13318,10,,
13318,20,,
13344,10,,2.5
13344,40,,2.25
13371,10,2.5,
13371,12,2.5,
13387,40,,2.5
13390,20,2.25,
13390,21,2.25,
13392,20,,
13399,10,2.0,
13418,10,1.75,
13433,30,2.5,
13465,10,,
13465,40,,2.0
13518,40,,3.0
13527,10,,2.75
13527,20,,3.0
13547,20,,1.75
13552,20,2.5,
13552,30,1.75,
13560,10,,
13561,20,,3.75
13583,30,,3.5
13590,30,1.75,
13590,40,,
13595,11,,3.25
13598,10,1.75,
13598,20,2.25,
13600,10,,3.5
13600,20,,3.0
13601,40,,3.5
13612,10,,3.5
13631,10,,4.0
13635,10,2.25,
13635,20,2.0,
13637,10,1.5,
13637,40,,
13656,40,1.75,
13671,10,,
13671,20,,
13699,10,,1.75
13734,10,2.5,
13734,20,2.0,
13738,10,1.5,
13738,20,2.0,
13753,10,,2.75
13753,20,,3.0
13757,30,2.0,
13772,20,2.0,
13772,30,2.0,
13784,10,,3.25
13784,40,,3.5
13802,20,,2.5
13813,10,,3.75
13814,10,,3.25
13814,40,,1.5
13815,10,,
13816,10,,
13816,40,,
13817,10,,3.0
13817,11,,2.5
13817,40,,2.0
13817,41,,2.25
13820,10,,
13820,20,,
13857,10,2.25,
13857,20,2.0,
13858,20,,
13858,30,2.25,
13897,10,,3.0
13899,10,,2.75
13899,40,2.25,
13899,41,1.75,
13902,10,2.5,
13902,20,1.75,
13912,10,,3.75
13912,20,,3.0
13915,10,,3.75
13915,11,,3.0
13916,10,1.5,
13916,40,2.25,
13965,10,,
13965,20,,
14008,10,,
14024,20,2.25,
14024,30,2.25,
14028,10,2.5,
14028,20,1.75,
14033,10,,3.0
14036,40,,
14043,10,,4.0
14043,20,,4.0
14063,10,1.75,
14063,20,2.25,
14069,10,2.0,
14069,20,2.25,
14072,10,2.0,
14072,40,2.0,
14080,20,,
14080,30,,2.75
14081,10,,
14081,40,,
14085,10,2.5,
14092,10,2.25,
14092,40,2.25,
14098,10,1.75,
14104,10,,4.0
14104,20,,4.0
14115,20,2.75,
14136,40,,
14137,10,,2.75
14137,20,,2.5
14147,10,2.75,
14147,40,2.0,
14149,20,,3.25
14149,30,,3.0
14157,10,2.75,
14157,40,2.75,
14159,30,2.75,
14167,10,,3.75
14167,40,,2.25
14179,10,,3.5
14179,40,,2.75
14188,20,2.75,
14188,30,2.5,
14199,20,,3.0
14202,10,1.25,
14212,10,,3.0
14212,20,,
14214,10,,2.5
14215,30,2.0,
14223,10,,
14224,10,2.75,
14234,10,,2.25
14234,11,,3.0
14234,41,,3.75
14244,20,2.0,
14244,30,2.0,
14247,10,2.0,
14247,40,1.5,
14251,10,2.25,
14252,10,,2.75
14259,20,,
14259,30,2.25,
14270,10,,
14270,40,2.5,
14272,10,1.75,
14272,11,,
14275,10,2.75,
14307,10,2.0,
14332,10,2.75,
14332,11,,
14341,10,,2.25
14349,10,,3.25
14349,40,,2.25
14359,10,,2.25
14359,20,,3.75
14397,10,,3.75
14397,20,,3.0
14411,10,2.0,
14420,10,1.5,
14420,20,2.25,
14427,10,,2.25
14430,10,,3.75
14430,20,,3.75
14433,10,2.0,
14433,20,2.0,
14434,20,2.25,
14434,30,1.75,
14436,20,2.25,
14436,21,2.25,
14449,10,,
14449,40,,
14455,11,,3.25
14456,10,,4.0
14456,20,,3.75
14458,30,,3.25
14458,31,,3.25
14535,11,,
14568,10,2.25,
14568,20,2.5,
14587,10,2.0,
14587,11,2.25,
14605,10,2.0,
14605,40,2.25,
14617,20,2.5,
14619,20,2.25,
14619,21,2.25,
14624,10,2.0,
14624,40,2.25,
14640,10,,2.75
14655,30,1.75,
14674,10,,2.5
14681,10,,2.0
14681,40,,2.25
14701,10,2.0,
14711,10,2.5,
14711,11,2.25,
14711,12,,
14726,10,,3.0
14726,40,,3.0
14736,10,,4.0
14746,10,1.75,
14748,20,2.25,
14754,10,1.25,
14754,40,,
14756,10,2.25,
14756,40,1.5,
14758,20,2.5,
14758,30,1.5,
14782,10,1.75,
14787,10,2.25,
14830,10,,2.5
14830,20,,3.5
14844,10,,3.0
14852,20,,3.0
14869,10,2.75,
14869,20,2.0,
14872,10,,4.0
14872,20,,3.25
14955,10,1.75,
14955,40,2.25,
14959,10,2.25,
14959,20,2.5,
14996,10,,
15015,20,2.0,
15023,10,,2.0
15023,40,,2.75
15048,10,2.25,
15056,20,2.25,
15056,30,2.5,
15080,40,2.75,
15129,10,1.75,
15140,40,,
15148,10,2.25,
15159,10,2.5,
15172,10,1.75,
15189,10,,3.0
15189,40,,2.25
15195,10,,2.25
15204,10,2.25,
15204,20,2.0,
15209,10,2.25,
15216,10,,3.0
15225,10,2.0,
15225,20,1.75,
15230,10,2.75,
15230,20,1.75,
15236,10,2.25,
15236,40,2.25,
15257,10,,2.75
15268,20,1.75,
15293,10,,
15294,10,,2.75
15304,30,,
15332,40,,2.0
15339,10,,3.0
15341,40,,3.0
15344,10,2.75,
15344,20,2.0,
15346,20,,1.0
15346,30,,3.75
15372,10,2.0,
15419,10,,2.5
15429,10,,3.25
15436,10,,4.0
15436,20,,3.25
15440,10,,3.25
15440,40,,3.25
15445,10,,3.75
15445,40,,2.0
15447,10,2.5,
15447,20,2.0,
15469,10,,
15497,10,,2.5
15497,40,,1.75
15511,10,2.25,
15511,40,2.25,
15514,20,,3.75
15514,30,,2.0
15516,10,2.25,
15516,20,3.0,
15536,10,,2.5
15536,11,2.25,
15537,10,,2.25
15543,10,,2.75
15543,20,,3.0
15551,10,,3.25
15551,20,,3.0
15560,40,,
15570,40,,3.5
15588,40,,3.5
15591,10,,2.75
15591,20,,2.75
15593,20,,3.5
15593,30,,4.0
15618,10,,
15625,10,2.5,
15636,10,2.0,
15648,20,,
15648,30,,
15657,10,,3.0
15658,10,,3.25
15676,10,,2.25
15676,40,,2.5
15698,10,,3.75
15698,40,,2.25
15708,10,,3.0
15709,20,,2.25
15709,30,,3.0
15726,10,2.0,
15726,40,1.75,
15730,30,,2.5
15734,40,,
15752,20,,3.0
15776,10,2.5,
15776,20,2.0,
15779,10,,3.75
15779,40,,
15781,10,2.25,
15784,20,2.5,
15793,10,2.25,
15801,40,,0.25
15833,10,1.75,
15833,20,2.5,
15834,10,1.75,
15834,11,1.75,
15836,10,2.0,
15836,20,2.25,
15840,20,2.0,
15883,10,,4.0
15883,11,,3.25
15889,20,,
15893,10,,3.75
15893,20,,3.25
15897,20,2.0,
15911,10,2.0,
15911,22,1.25,
15935,11,,3.5
15960,10,,
15972,10,,3.5
15981,10,2.25,
15981,40,2.5,
15982,10,,3.75
15982,20,,3.25
15983,10,2.75,
15986,10,,3.5
15986,40,,2.75
15991,40,,4.0
15992,20,,
15992,30,,
15995,10,2.25,
15995,20,,
16013,10,,
16022,10,,3.25
16022,40,,2.25
16024,10,2.25,
16024,20,1.5,
16035,10,,3.5
16035,40,,3.25
16036,10,,2.75
16036,40,,3.5
16042,10,,2.25
16042,11,,3.5
16048,10,2.0,
16048,20,2.25,
16054,20,2.25,
16062,10,2.75,
16062,40,2.0,
16064,10,1.75,
16064,40,2.25,
16086,10,2.5,
16086,20,2.25,
16107,10,2.25,
16116,10,1.75,
16116,20,2.5,
16119,20,,
16161,20,,
16162,10,,3.0
16162,40,,4.0
16174,10,2.25,
16174,40,2.75,
16190,10,2.5,
16197,10,2.25,
16197,20,2.25,
16211,10,0.5,
16220,10,2.0,
16221,10,,3.75
16233,10,2.25,
16233,20,2.75,
16237,30,,
16245,10,2.5,
16245,40,2.5,
16246,20,,2.5
16246,30,,3.75
16247,30,2.25,
16250,10,,1.75
16250,20,,2.5
16306,10,,3.0
16331,10,,2.0
16331,11,,2.75
16376,20,2.75,
16381,10,,2.25
16381,40,,2.75
16400,10,,3.0
16404,10,2.25,
16404,20,1.75,
16407,10,2.25,
16407,11,2.0,
16412,10,1.75,
16412,20,2.25,
16415,10,,3.0
16415,40,,2.5
16420,10,2.5,
16420,20,2.0,
16430,10,2.25,
16433,10,2.0,
16433,20,1.75,
16437,10,,3.25
16437,20,,3.0
16439,20,,4.0
16439,30,,3.5
16444,10,2.0,
16449,20,1.75,
16449,30,,
16454,20,,3.25
16460,10,2.0,
16468,10,,
16468,40,,
16471,10,,2.5
16475,10,1.75,
16478,10,2.0,
16484,20,2.0,
16484,30,2.0,
16491,10,2.0,
16496,10,,
16500,10,,3.25
16500,20,,2.75
16517,10,,1.75
16526,10,,
16526,20,,
16528,30,2.0,
16528,40,2.0,
16541,10,,3.0
16541,11,,3.25
16558,10,2.25,
16558,20,2.75,
16566,10,,2.0
16566,20,,1.5
16570,10,,
16599,10,1.75,
16602,10,,1.25
16602,20,,1.5
16606,10,2.0,
16612,10,,
16619,20,,3.25
16631,10,1.75,
16631,20,2.0,
16648,10,1.75,
16648,20,2.75,
16650,20,,2.75
16650,30,,2.75
16659,10,,3.5
16659,40,,3.25
16660,10,2.5,
16663,10,1.75,
16672,10,1.75,
16672,20,1.75,
16681,10,,
16698,10,2.0,
16700,20,2.5,
16705,10,2.25,
16705,20,2.75,
16706,10,,3.0
16706,20,,3.0
16710,10,,4.0
16711,10,2.25,
16715,30,2.25,
16715,40,1.75,
16747,10,2.25,
16747,20,1.75,
16761,10,,3.25
16770,10,,
16789,10,,3.5
16789,20,,3.0
16799,10,2.25,
16799,40,2.25,
16810,10,1.75,
16810,11,2.0,
16822,10,,3.5
16822,20,,3.5
16827,10,,1.25
16827,40,,2.75
16841,10,,3.0
16848,10,,2.5
