HHID,PN,value_06,value_08
3,10,3.0,
3,20,2.142857142857143,
10001,10,,2.857142857142857
10003,30,2.5714285714285716,
10004,10,2.142857142857143,
10004,40,2.2857142857142856,
10013,10,3.0,
10013,40,2.5714285714285716,
10038,10,2.0,
10038,40,1.7142857142857142,
10050,10,2.0,
10059,20,1.7142857142857142,
10059,30,,
10075,20,,2.142857142857143
10083,10,,
10083,20,,2.4285714285714284
10097,40,,1.2857142857142858
10109,30,2.4285714285714284,
10147,10,1.8571428571428572,
10196,10,2.0,
10206,10,,3.2857142857142856
10210,10,,2.7142857142857144
10210,20,,1.8571428571428572
10225,10,2.5714285714285716,
10299,10,,1.8571428571428572
10299,12,,
10372,10,,2.4285714285714284
10394,10,,1.1428571428571428
10394,40,,2.0
10395,10,,1.7142857142857142
10395,20,,2.4285714285714284
10397,10,,1.8571428571428572
10397,40,,2.7142857142857144
10404,10,3.0,
10433,10,,3.0
10451,10,1.7142857142857142,
10451,20,2.142857142857143,
10453,10,1.8571428571428572,
10453,20,1.7142857142857142,
10475,10,,2.7142857142857144
10475,11,,1.8571428571428572
10477,10,,2.142857142857143
10477,20,,1.8571428571428572
10481,10,2.5714285714285716,
10481,20,1.8571428571428572,
10482,10,,
10533,10,,1.5714285714285714
10533,11,,
10537,10,2.857142857142857,
10565,20,,1.8571428571428572
10568,10,,
10571,10,1.8571428571428572,
10577,10,,1.4285714285714286
10577,11,,2.0
10592,10,,2.7142857142857144
10645,31,,2.0
10648,10,1.2857142857142858,
10648,20,2.2857142857142856,
10652,10,2.4285714285714284,
10672,31,,
10707,10,,2.2857142857142856
10707,20,,2.4285714285714284
10719,20,,
10756,10,,2.4285714285714284
10756,11,,2.5714285714285716
10769,10,2.5714285714285716,
10769,40,2.0,
10773,20,,1.8571428571428572
10773,30,,2.5714285714285716
10775,20,,
10775,30,,
10818,10,1.8571428571428572,
10818,40,2.7142857142857144,
10822,10,,1.8571428571428572
10822,40,,2.4285714285714284
10893,10,,
10896,10,,
10902,10,1.8571428571428572,
10917,10,2.0,
10941,10,2.2857142857142856,
10962,10,,1.4285714285714286
10989,10,2.5714285714285716,
10989,20,2.5714285714285716,
10994,10,,
11010,10,2.142857142857143,
11067,20,2.0,
11067,30,2.142857142857143,
11071,10,2.142857142857143,
11071,20,2.857142857142857,
11074,20,,3.0
11141,10,2.2857142857142856,
11141,20,1.8571428571428572,
11179,10,2.4285714285714284,
11179,20,2.4285714285714284,
11186,10,3.5714285714285716,
11212,10,,
11230,10,2.142857142857143,
11248,10,1.5714285714285714,
11253,10,,2.142857142857143
11256,10,2.0,
11256,40,1.7142857142857142,
11277,10,1.4285714285714286,
11332,10,,2.0
11332,20,,1.8571428571428572
11333,20,2.142857142857143,
11333,30,2.4285714285714284,
11341,10,2.4285714285714284,
11345,10,,
11345,20,,
11347,20,1.4285714285714286,
11347,30,2.5714285714285716,
11368,10,,1.5714285714285714
11368,20,,2.5714285714285716
11377,10,,1.5714285714285714
11377,40,,1.4285714285714286
11378,10,2.142857142857143,
11378,20,1.8571428571428572,
11379,20,2.142857142857143,
11387,20,2.4285714285714284,
11423,10,,1.7142857142857142
11466,40,,2.4285714285714284
11467,10,,2.4285714285714284
11477,10,,1.0
11479,40,,2.2857142857142856
11506,10,,1.4285714285714286
11563,10,,3.2857142857142856
11575,20,2.142857142857143,
11582,20,2.4285714285714284,
11590,20,2.4285714285714284,
11608,10,1.8571428571428572,
11608,40,1.7142857142857142,
11611,10,,1.7142857142857142
11620,10,2.5714285714285716,
11620,40,2.2857142857142856,
11626,10,,2.0
11626,11,,2.5714285714285716
11656,10,,
11667,20,,2.857142857142857
11667,30,,2.142857142857143
11678,10,2.2857142857142856,
