HHID,PN,value_06,value_08
3,10,1.4285714285714286,
3,20,2.7142857142857144,
10001,10,,1.5714285714285714
10003,30,,
10004,10,2.0,
10004,40,2.5714285714285716,
10013,10,2.0,
10013,40,1.4285714285714286,
10038,10,1.5714285714285714,
10038,40,2.7142857142857144,
10050,10,1.1428571428571428,
10059,20,1.7142857142857142,
10059,30,,
10075,20,,1.7142857142857142
10083,10,,
10083,20,,1.4285714285714286
10097,40,,1.2857142857142858
10109,30,1.4285714285714286,
10147,10,1.0,
10196,10,1.1428571428571428,
10206,10,,2.0
10210,10,,2.0
10210,20,,
10225,10,1.0,
10299,10,,1.2857142857142858
10299,12,,
10372,10,,1.5714285714285714
10394,10,,2.0
10394,40,,1.5714285714285714
10395,10,,1.1428571428571428
10395,20,,1.0
10397,10,,1.0
10397,40,,1.1428571428571428
10404,10,1.7142857142857142,
10433,10,,2.0
10451,10,1.0,
10451,20,1.4285714285714286,
10453,10,1.2857142857142858,
10453,20,1.1428571428571428,
10475,10,,4.0
10475,11,,1.4285714285714286
10477,10,,2.0
10477,20,,1.1428571428571428
10481,10,1.1428571428571428,
10481,20,1.2857142857142858,
10482,10,,
10533,10,,1.7142857142857142
10533,11,,
10537,10,1.0,
10565,20,,1.5714285714285714
10568,10,,
10571,10,1.1428571428571428,
10577,10,,1.5714285714285714
10577,11,,1.7142857142857142
10592,10,,1.0
10645,31,,1.5714285714285714
10648,10,1.4285714285714286,
10648,20,1.2857142857142858,
10652,10,1.1428571428571428,
10672,31,,
10707,10,,1.1428571428571428
10707,20,,1.1428571428571428
10719,20,,
10756,10,,1.1428571428571428
10756,11,,1.0
10769,10,1.5714285714285714,
10769,40,1.1428571428571428,
10773,20,,1.1428571428571428
10773,30,,1.1428571428571428
10775,20,,
10775,30,,
10818,10,1.2857142857142858,
10818,40,1.8571428571428572,
10822,10,,1.8571428571428572
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,1.2857142857142858,
10917,10,1.2857142857142858,
10941,10,3.2857142857142856,
10962,10,,1.8571428571428572
10989,10,1.8571428571428572,
10989,20,1.2857142857142858,
10994,10,,
11010,10,1.1428571428571428,
11067,20,1.2857142857142858,
11067,30,1.5714285714285714,
11071,10,1.2857142857142858,
11071,20,1.2857142857142858,
11074,20,,
11141,10,1.2857142857142858,
11141,20,2.0,
11179,10,1.1428571428571428,
11179,20,1.5714285714285714,
11186,10,1.0,
11212,10,,
11230,10,1.0,
11248,10,2.4285714285714284,
11253,10,,1.0
11256,10,1.7142857142857142,
11256,40,1.7142857142857142,
11277,10,1.1428571428571428,
11332,10,,2.0
11332,20,,1.5714285714285714
11333,20,1.1428571428571428,
11333,30,1.1428571428571428,
11341,10,1.2857142857142858,
11345,10,,
11345,20,,
11347,20,1.7142857142857142,
11347,30,1.1428571428571428,
11368,10,,1.7142857142857142
11368,20,,1.2857142857142858
11377,10,,1.8571428571428572
11377,40,,1.1428571428571428
11378,10,2.0,
11378,20,1.2857142857142858,
11379,20,1.1428571428571428,
11387,20,1.0,
11423,10,,1.5714285714285714
11466,40,,2.0
11467,10,,1.4285714285714286
11477,10,,1.0
11479,40,,1.4285714285714286
11506,10,,1.2857142857142858
11563,10,,1.4285714285714286
11575,20,1.7142857142857142,
11582,20,1.0,
11590,20,1.2857142857142858,
11608,10,2.4285714285714284,
11608,40,1.0,
11611,10,,1.4285714285714286
11620,10,1.7142857142857142,
11620,40,1.1428571428571428,
11626,10,,1.2857142857142858
11626,11,,1.4285714285714286
11656,10,,
11667,20,,1.0
11667,30,,1.0
11678,10,1.1428571428571428,
11678,40,,1.7142857142857142
11678,41,,1.1428571428571428
11690,10,,1.0
11694,10,,1.1428571428571428
11694,20,,
11716,10,,
11765,10,1.7142857142857142,
11787,10,,2.142857142857143
11793,10,2.0,
11802,10,1.0,
11825,10,,1.0
11841,10,1.0,
11854,10,2.0,
11854,20,1.8571428571428572,
11856,10,1.7142857142857142,
11859,10,,1.7142857142857142
11862,20,1.4285714285714286,
11862,30,,2.2857142857142856
11876,10,2.142857142857143,
11881,10,,1.4285714285714286
11881,11,,2.0
11902,30,,
11902,31,,
11911,10,,1.8571428571428572
11911,40,,1.5714285714285714
11932,20,,1.0
11933,10,,1.1428571428571428
11936,10,,1.1428571428571428
11936,11,,2.0
11937,10,1.4285714285714286,
11948,20,,1.1428571428571428
11983,40,,1.5714285714285714
11993,10,,1.8571428571428572
11993,20,,1.5714285714285714
11999,10,1.2857142857142858,
11999,20,1.4285714285714286,
12005,10,,
12009,10,,1.2857142857142858
12009,40,,1.0
12010,10,1.2857142857142858,
12010,20,1.7142857142857142,
12033,10,,1.8571428571428572
12033,11,,1.4285714285714286
12045,11,,1.7142857142857142
12094,10,,1.0
12104,10,,1.8571428571428572
12104,20,,1.7142857142857142
12112,30,,1.2857142857142858
12118,30,,1.0
12124,20,1.7142857142857142,
12124,30,1.4285714285714286,
12135,20,,1.1428571428571428
12135,30,,1.5714285714285714
12145,20,,1.4285714285714286
12161,10,,1.5714285714285714
12161,20,,1.5714285714285714
12162,10,2.142857142857143,
12166,10,,
12166,40,,
12172,10,,1.1428571428571428
12172,20,,1.1428571428571428
12178,10,,
12179,10,,1.0
12183,10,2.0,
12195,10,,
12196,10,,1.0
12196,20,,1.2857142857142858
12218,10,,1.7142857142857142
12218,20,,2.7142857142857144
12223,20,,1.4285714285714286
12232,10,1.0,
12232,40,1.0,
12235,10,1.1428571428571428,
12235,40,1.8571428571428572,
12242,10,1.1428571428571428,
12242,20,1.0,
12243,20,,1.1428571428571428
12243,30,,1.7142857142857142
12252,20,1.4285714285714286,
12273,10,,1.8571428571428572
12273,40,,1.4285714285714286
12274,10,,1.8571428571428572
12274,20,,1.1428571428571428
12276,20,,1.5714285714285714
12276,30,,1.1428571428571428
12280,20,,1.4285714285714286
12280,30,,1.1428571428571428
12285,10,,1.4285714285714286
12292,10,1.1428571428571428,
12302,10,1.1428571428571428,
12310,10,1.2857142857142858,
12310,11,1.0,
12315,10,2.0,
12315,40,1.8571428571428572,
12318,10,,1.7142857142857142
12319,10,1.0,
12344,10,,1.1428571428571428
12344,20,,1.1428571428571428
12393,20,1.4285714285714286,
12393,30,,
12394,10,,1.7142857142857142
12401,40,,1.0
12443,10,1.7142857142857142,
12443,40,1.2857142857142858,
12445,10,1.0,
12455,10,,
12458,20,1.5714285714285714,
12474,40,,1.0
12479,10,,
12481,10,,2.0
12481,11,,1.2857142857142858
12484,10,1.0,
12484,20,1.4285714285714286,
12494,40,1.1428571428571428,
12507,10,1.7142857142857142,
12510,10,,1.0
12510,20,,1.4285714285714286
12512,10,,1.5714285714285714
12512,20,,1.1428571428571428
12513,10,,
12513,20,,1.1428571428571428
12516,10,,2.5714285714285716
12516,40,,1.7142857142857142
12520,40,,
12529,20,,
12543,10,1.1428571428571428,
12549,10,,2.857142857142857
12549,11,,1.0
12549,40,,
12562,11,,2.0
12571,20,,1.1428571428571428
12573,10,,
12573,11,,1.2857142857142858
12574,20,1.0,
12586,10,2.2857142857142856,
12586,20,1.8571428571428572,
12588,10,1.0,
12588,20,1.5714285714285714,
12596,10,,1.0
12596,40,,
12605,10,1.0,
12605,40,2.142857142857143,
12605,41,2.142857142857143,
12611,10,1.1428571428571428,
12611,20,1.0,
12629,10,1.4285714285714286,
12629,11,,
12648,40,1.1428571428571428,
12653,10,2.0,
12653,40,1.4285714285714286,
12666,10,,1.0
12667,10,2.142857142857143,
12671,10,,
12682,10,,1.4285714285714286
12695,20,1.8571428571428572,
12695,30,1.2857142857142858,
12709,20,1.1428571428571428,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,1.4285714285714286,
12744,11,1.4285714285714286,
12745,10,1.4285714285714286,
12745,20,1.2857142857142858,
12756,10,,1.4285714285714286
12756,11,,1.2857142857142858
12762,20,,1.7142857142857142
12765,10,,1.1428571428571428
12786,10,,2.0
12792,10,1.1428571428571428,
12821,10,,1.0
