HHID,PN,value_06,value_08
3,10,2.75,
3,20,1.5,
10001,10,,1.75
10003,30,2.0,
10004,10,1.75,
10004,40,1.5,
10013,10,2.0,
10013,40,2.25,
10038,10,2.5,
10038,40,1.5,
10050,10,1.75,
10059,20,1.75,
10059,30,,
10075,20,,1.75
10083,10,,
10083,20,,3.5
10097,40,,2.0
10109,30,2.5,
10147,10,1.25,
10196,10,2.0,
10206,10,,2.0
10210,10,,2.25
10210,20,,
10225,10,2.5,
10299,10,,2.5
10299,12,,
10372,10,,3.0
10394,10,,1.75
10394,40,,1.75
10395,10,,2.75
10395,20,,1.75
10397,10,,2.0
10397,40,,2.0
10404,10,1.75,
10433,10,,2.0
10451,10,1.25,
10451,20,2.0,
10453,10,1.0,
10453,20,1.75,
10475,10,,1.25
10475,11,,2.0
10477,10,,2.25
10477,20,,1.75
10481,10,3.5,
10481,20,2.75,
10482,10,,
10533,10,,2.0
10533,11,,
10537,10,1.5,
10565,20,,1.0
10568,10,,
10571,10,1.5,
10577,10,,2.25
10577,11,,2.5
10592,10,,2.75
10645,31,,2.5
10648,10,1.75,
10648,20,2.25,
10652,10,1.25,
10672,31,,
10707,10,,2.0
10707,20,,2.75
10719,20,,
10756,10,,1.5
10756,11,,2.5
10769,10,1.75,
10769,40,2.0,
10773,20,,1.5
10773,30,,3.0
10775,20,,
10775,30,,
10818,10,3.75,
10818,40,1.5,
10822,10,,1.5
10822,40,,1.75
10893,10,,
10896,10,,
10902,10,1.75,
10917,10,1.5,
10941,10,2.0,
10962,10,,2.75
10989,10,2.0,
10989,20,1.75,
10994,10,,
11010,10,2.25,
11067,20,3.0,
11067,30,3.25,
11071,10,1.5,
11071,20,2.25,
11074,20,,
11141,10,2.25,
11141,20,1.5,
11179,10,2.0,
11179,20,2.0,
11186,10,1.5,
11212,10,,
11230,10,1.25,
11248,10,2.0,
11253,10,,1.0
11256,10,3.0,
11256,40,3.5,
11277,10,1.5,
11332,10,,2.0
11332,20,,1.75
11333,20,2.0,
11333,30,2.25,
11341,10,2.0,
11345,10,,
11345,20,,
11347,20,2.25,
11347,30,2.0,
11368,10,,1.75
11368,20,,2.5
11377,10,,2.0
11377,40,,2.0
11378,10,1.75,
11378,20,1.75,
11379,20,3.25,
11387,20,1.0,
11423,10,,2.5
11466,40,,2.5
11467,10,,2.0
11477,10,,2.0
11479,40,,3.25
11506,10,,1.5
11563,10,,3.0
11575,20,2.25,
11582,20,1.0,
11590,20,2.25,
11608,10,1.5,
11608,40,1.25,
11611,10,,1.75
11620,10,1.0,
11620,40,1.75,
11626,10,,2.0
11626,11,,1.25
11656,10,,
11667,20,,2.5
11667,30,,2.25
11678,10,2.0,
11678,40,,2.25
11678,41,,3.25
11690,10,,1.0
11694,10,,2.25
11694,20,,
11716,10,,
11765,10,2.0,
11787,10,,2.0
11793,10,2.5,
11802,10,1.75,
11825,10,,2.0
11841,10,2.0,
11854,10,2.25,
11854,20,2.0,
11856,10,2.25,
11859,10,,2.5
11862,20,1.0,
11862,30,,3.5
11876,10,2.0,
11881,10,,2.0
11881,11,,2.5
11902,30,,
11902,31,,
11911,10,,2.0
11911,40,,2.75
11932,20,,1.5
11933,10,,1.75
11936,10,,3.25
11936,11,,1.75
11937,10,2.0,
11948,20,,2.25
11983,40,,2.5
11993,10,,3.0
11993,20,,1.75
11999,10,2.75,
11999,20,2.0,
12005,10,1.0,
12009,10,,2.75
12009,40,,2.25
12010,10,1.75,
12010,20,2.0,
12033,10,,3.0
12033,11,,1.75
12045,11,,2.25
12094,10,,1.0
12104,10,,3.5
12104,20,,1.5
12112,30,,2.75
12118,30,,1.25
12124,20,2.0,
12124,30,1.25,
12135,20,,1.75
12135,30,,2.5
12145,20,,2.0
12161,10,,2.5
12161,20,,3.5
12162,10,1.75,
12166,10,,
12166,40,,
12172,10,,2.0
12172,20,,1.5
12178,10,,
12179,10,,1.75
12183,10,3.0,
12195,10,,
12196,10,,2.0
12196,20,,1.5
12218,10,,3.0
12218,20,,1.75
12223,20,,2.0
12232,10,2.5,
12232,40,1.0,
12235,10,1.75,
12235,40,2.0,
12242,10,1.0,
12242,20,2.5,
12243,20,,1.5
12243,30,,3.25
12252,20,1.5,
12273,10,,2.25
12273,40,,2.75
12274,10,,1.5
12274,20,,3.75
12276,20,,1.25
12276,30,,2.25
12280,20,,2.0
12280,30,,2.0
12285,10,,3.0
12292,10,3.75,
12302,10,3.0,
12310,10,2.25,
12310,11,1.0,
12315,10,2.75,
12315,40,2.0,
12318,10,,1.5
12319,10,1.75,
12344,10,,2.0
12344,20,,3.0
12393,20,2.25,
12393,30,,
12394,10,,1.75
12401,40,,3.5
12443,10,1.75,
12443,40,1.5,
12445,10,1.75,
12455,10,,
12458,20,1.5,
12474,40,,1.25
12479,10,,
12481,10,,1.5
12481,11,,3.0
12484,10,1.75,
12484,20,2.5,
12494,40,2.75,
12507,10,1.0,
12510,10,,1.5
12510,20,,2.0
12512,10,,1.75
12512,20,,1.0
12513,10,,
12513,20,,3.25
12516,10,,2.25
12516,40,,1.75
12520,40,,
12529,20,,
12543,10,2.75,
12549,10,,1.25
12549,11,,4.0
12549,40,,
12562,11,,1.5
12571,20,,2.25
12573,10,,
12573,11,,2.75
12574,20,1.0,
12586,10,2.5,
12586,20,1.5,
12588,10,3.0,
12588,20,2.25,
12596,10,,3.0
12596,40,,
12605,10,1.0,
12605,40,1.5,
12605,41,1.5,
12611,10,2.75,
12611,20,1.0,
12629,10,2.0,
12629,11,,
12648,40,2.25,
12653,10,2.75,
12653,40,2.0,
12666,10,,1.0
12667,10,2.25,
12671,10,,
12682,10,,1.0
12695,20,2.0,
12695,30,2.5,
12709,20,1.0,
12715,20,,
12715,30,,
12738,10,,
12738,20,,
12744,10,2.0,
12744,11,2.5,
12745,10,2.0,
12745,20,2.75,
12756,10,,3.25
12756,11,,3.25
12762,20,,4.0
12765,10,,3.0
12786,10,,1.0
12792,10,1.75,
12821,10,,1.5
12852,30,,2.0
12854,10,3.5,
12864,20,3.25,
12887,10,,
12909,20,1.5,
12920,10,2.5,
12964,40,,
12967,10,,1.25
12979,10,1.0,
12979,20,1.0,
12981,30,,2.25
12987,20,1.5,
13054,40,,
13062,10,,2.0
13063,10,1.75,
13137,20,3.0,
13137,21,1.75,
13140,10,1.0,
13140,40,1.25,
13142,10,,2.25
13142,20,,1.75
13158,10,2.0,
13176,20,1.5,
13189,20,1.5,
13189,30,2.0,
13194,10,1.75,
13208,10,2.5,
13208,40,2.5,
13211,10,1.0,
13211,20,1.0,
13216,10,,1.0
13231,10,2.25,
13231,20,3.0,
13238,10,1.25,
13242,10,,
13257,10,3.75,
13286,10,,1.5
13286,20,,2.25
13296,10,,2.75
13305,30,,
13317,10,,2.5
13317,40,,2.0
13318,10,,
13318,20,,
13344,10,,2.25
13344,40,,2.0
13371,10,2.0,
13371,12,2.5,
13387,40,,3.0
13390,20,2.5,
13390,21,3.25,
13392,20,,
13399,10,2.5,
13418,10,4.0,
13433,30,2.0,
13465,10,,
13465,40,,2.25
13518,40,,2.75
13527,10,,2.25
13527,20,,2.0
13547,20,,2.75
13552,20,2.5,
13552,30,2.0,
13560,10,,
13561,20,,2.5
13583,30,,2.0
13590,30,2.75,
13590,40,,
13595,11,,2.25
13598,10,2.0,
13598,20,3.25,
13600,10,,1.75
13600,20,,1.5
13601,40,,1.0
13612,10,,1.0
13631,10,,2.25
13635,10,3.75,
13635,20,2.0,
13637,10,3.0,
13637,40,,
13656,40,2.25,
13671,10,,
13671,20,,
13699,10,,1.25
13734,10,2.0,
13734,20,2.0,
13738,10,2.25,
13738,20,1.75,
13753,10,,2.0
13753,20,,2.5
13757,30,1.0,
13772,20,1.5,
13772,30,1.5,
13784,10,,1.0
13784,40,,2.0
13802,20,,2.0
13813,10,,3.5
13814,10,,2.0
13814,40,,2.5
13815,10,,
13816,10,,
13816,40,,
13817,10,,2.75
13817,11,,1.75
13817,40,,3.0
13817,41,,4.0
13820,10,,
13820,20,,
13857,10,3.25,
13857,20,1.75,
13858,20,,
13858,30,1.0,
13897,10,,2.0
13899,10,,1.5
13899,40,2.25,
13899,41,1.25,
13902,10,1.75,
13902,20,3.25,
13912,10,,1.25
13912,20,,2.5
13915,10,,1.25
13915,11,,2.25
13916,10,2.5,
13916,40,1.5,
13965,10,,
13965,20,,
14008,10,,
14024,20,3.75,
14024,30,2.5,
14028,10,3.0,
14028,20,2.25,
14033,10,,3.5
14036,40,,
14043,10,,2.5
14043,20,,3.25
14063,10,2.0,
14063,20,1.5,
14069,10,3.25,
14069,20,1.75,
14072,10,1.75,
14072,40,1.25,
14080,20,,
14080,30,,2.0
14081,10,,
14081,40,,
14085,10,1.25,
14092,10,2.0,
14092,40,1.75,
14098,10,2.0,
14104,10,,1.5
14104,20,,1.5
14115,20,2.0,
14136,40,,
14137,10,,1.5
14137,20,,3.5
14147,10,2.25,
14147,40,3.0,
14149,20,,3.0
14149,30,,2.0
14157,10,2.5,
14157,40,3.0,
14159,30,3.0,
14167,10,,1.75
14167,40,,1.25
14179,10,,3.0
14179,40,,2.0
14188,20,2.0,
14188,30,2.25,
14199,20,,2.25
14202,10,,
14212,10,,2.0
14212,20,,
14214,10,,2.0
14215,30,2.0,
14223,10,,
14224,10,1.25,
14234,10,,3.0
14234,11,,1.25
14234,41,,3.5
14244,20,2.25,
14244,30,2.0,
14247,10,2.0,
14247,40,2.25,
14251,10,3.75,
14252,10,,1.5
14259,20,,
14259,30,2.0,
14270,10,1.5,
14270,40,2.0,
14272,10,2.75,
14272,11,,
14275,10,2.25,
14307,10,1.5,
14332,10,2.0,
14332,11,,
14341,10,,2.0
14349,10,,1.75
14349,40,,1.75
14359,10,,1.75
14359,20,,1.5
14397,10,,2.5
14397,20,,2.5
14411,10,2.75,
14420,10,1.75,
14420,20,2.0,
14427,10,,2.0
14430,10,,1.25
14430,20,,2.0
14433,10,1.0,
14433,20,1.5,
14434,20,1.5,
14434,30,1.25,
14436,20,1.5,
14436,21,1.5,
14449,10,,
14449,40,,
14455,11,,1.75
14456,10,,1.5
14456,20,,1.25
14458,30,,2.25
14458,31,,1.75
14535,11,,
14568,10,2.5,
14568,20,1.5,
14587,10,2.0,
14587,11,2.5,
14605,10,2.0,
14605,40,1.25,
14617,20,1.5,
14619,20,1.5,
14619,21,2.0,
14624,10,2.25,
14624,40,2.25,
14640,10,,2.0
14655,30,1.5,
14674,10,,1.25
14681,10,,2.0
14681,40,,2.25
14701,10,4.0,
14711,10,2.0,
14711,11,2.0,
14711,12,,
14726,10,,2.25
14726,40,,1.25
14736,10,,
14746,10,2.25,
14748,20,3.0,
14754,10,3.25,
14754,40,,
14756,10,2.0,
14756,40,,
14758,20,2.25,
14758,30,2.25,
14782,10,1.0,
14787,10,1.75,
14830,10,,1.75
14830,20,,2.0
14844,10,,2.75
14852,20,,1.5
14869,10,2.5,
14869,20,1.75,
14872,10,,1.5
14872,20,,2.25
14955,10,2.0,
14955,40,3.25,
14959,10,2.0,
14959,20,1.0,
14996,10,,
15015,20,1.25,
15023,10,,3.0
15023,40,,2.5
15048,10,2.0,
15056,20,2.25,
15056,30,1.5,
15080,40,3.75,
15129,10,2.75,
15140,40,,
15148,10,1.25,
15159,10,2.0,
15172,10,1.5,
15189,10,,3.0
15189,40,,2.0
15195,10,,4.0
15204,10,2.0,
15204,20,1.75,
15209,10,2.5,
15216,10,,1.25
15225,10,1.25,
15225,20,2.5,
15230,10,2.0,
15230,20,1.75,
15236,10,2.75,
15236,40,2.0,
15257,10,,1.0
15268,20,1.0,
15293,10,,
15294,10,,2.25
15304,30,,
15332,40,,2.25
15339,10,,2.75
15341,40,,2.5
15344,10,2.25,
15344,20,2.5,
15346,20,,1.5
15346,30,,2.25
15372,10,1.0,
15419,10,,1.5
15429,10,,2.25
15436,10,,1.25
15436,20,,3.0
15440,10,,2.75
15440,40,,1.75
15445,10,,2.0
15445,40,,2.75
15447,10,1.0,
15447,20,2.25,
15469,10,,
15497,10,,3.0
15497,40,,1.5
15511,10,2.0,
15511,40,2.25,
15514,20,,1.75
15514,30,,3.0
15516,10,2.25,
15516,20,1.75,
15536,10,,2.0
15536,11,1.0,
15537,10,,2.25
15543,10,,1.5
15543,20,,2.0
15551,10,,2.25
15551,20,,1.5
15560,40,,
15570,40,,1.5
15588,40,,2.0
15591,10,,2.25
15591,20,,2.5
15593,20,,1.25
15593,30,,1.75
15618,10,,
15625,10,1.5,
15636,10,3.0,
15648,20,,
15648,30,,
15657,10,,2.25
15658,10,,2.75
15676,10,,2.75
15676,40,,3.0
15698,10,,1.75
15698,40,,2.25
15708,10,,1.0
15709,20,,3.5
15709,30,,2.25
15726,10,2.75,
15726,40,2.0,
15730,30,,2.75
15734,40,,
15752,20,,3.25
15776,10,2.75,
15776,20,2.5,
15779,10,,1.5
15779,40,,
15781,10,2.25,
15784,20,2.5,
15793,10,2.75,
15801,40,,
15833,10,1.75,
15833,20,2.25,
15834,10,1.75,
15834,11,1.25,
15836,10,1.0,
15836,20,2.5,
15840,20,2.5,
15883,10,,1.25
15883,11,,4.0
15889,20,4.0,
15893,10,,2.0
15893,20,,2.5
15897,20,2.0,
15911,10,3.75,
15911,22,1.0,
15935,11,,1.75
15960,10,,
15972,10,,2.0
15981,10,2.25,
15981,40,,
15982,10,,1.5
15982,20,,2.0
15983,10,1.25,
15986,10,,1.25
15986,40,,3.0
15991,40,,4.0
15992,20,,
15992,30,,
15995,10,1.25,
15995,20,,
16013,10,,
16022,10,,2.75
16022,40,,2.75
16024,10,3.0,
16024,20,1.5,
16035,10,,3.25
16035,40,,1.75
16036,10,,2.0
16036,40,,2.0
16042,10,,3.75
16042,11,,3.25
16048,10,1.0,
16048,20,2.25,
16054,20,1.0,
16062,10,3.0,
16062,40,2.25,
16064,10,2.75,
16064,40,1.75,
16086,10,2.5,
16086,20,2.25,
16107,10,2.0,
16116,10,2.75,
16116,20,2.5,
16119,20,,2.0
16161,20,,2.25
16162,10,,4.0
16162,40,,1.5
16174,10,1.5,
16174,40,1.25,
16190,10,2.0,
16197,10,2.25,
16197,20,2.0,
16211,10,1.75,
16220,10,,
16221,10,,2.0
16233,10,1.5,
16233,20,3.0,
16237,30,,
16245,10,2.25,
16245,40,2.0,
16246,20,,2.25
16246,30,,1.5
16247,30,4.0,
16250,10,,2.75
16250,20,,2.75
16306,10,,3.5
16331,10,,3.25
16331,11,,2.5
16376,20,3.0,
16381,10,,2.0
16381,40,,2.0
16400,10,,2.0
16404,10,2.25,
16404,20,1.5,
16407,10,2.5,
16407,11,3.25,
16412,10,1.25,
16412,20,2.0,
16415,10,,2.25
16415,40,,2.5
16420,10,1.0,
16420,20,2.5,
16430,10,2.75,
16433,10,1.75,
16433,20,1.75,
16437,10,,1.75
16437,20,,2.0
16439,20,,1.75
16439,30,,1.0
16444,10,1.5,
16449,20,2.0,
16449,30,,
16454,20,,1.5
16460,10,3.0,
16468,10,,
16468,40,,
16471,10,,2.25
16475,10,3.5,
16478,10,1.25,
16484,20,3.0,
16484,30,2.0,
16491,10,2.25,
16496,10,,
16500,10,,1.5
16500,20,,1.5
16517,10,,2.75
16526,10,,
16526,20,,
16528,30,2.0,
16528,40,2.5,
16541,10,,2.5
16541,11,,1.75
16558,10,2.0,
16558,20,2.75,
16566,10,,2.0
16566,20,,4.0
16570,10,,
16599,10,2.25,
16602,10,,3.0
16602,20,,3.0
16606,10,1.25,
16612,10,,
16619,20,,2.25
16631,10,3.0,
16631,20,1.75,
16648,10,2.0,
16648,20,2.0,
16650,20,,3.0
16650,30,,2.5
16659,10,,2.75
16659,40,,2.0
16660,10,1.25,
16663,10,1.75,
16672,10,1.5,
16672,20,1.5,
16681,10,,
16698,10,1.25,
16700,20,2.25,
16705,10,2.25,
16705,20,3.25,
16706,10,,2.0
16706,20,,2.0
16710,10,,1.75
16711,10,1.5,
16715,30,2.25,
16715,40,1.0,
16747,10,2.5,
16747,20,1.75,
16761,10,,1.5
16770,10,,
16789,10,,1.0
16789,20,,1.75
16799,10,2.5,
16799,40,2.0,
16810,10,2.0,
16810,11,2.0,
16822,10,,2.75
16822,20,,2.25
16827,10,,4.0
16827,40,,2.0
16841,10,,2.0
16848,10,,3.0
16851,10,,1.0
16855,20,,2.75
16855,30,,2.0
16856,10,2.5,
16870,10,1.0,
16870,11,1.25,
16873,20,,
16873,30,2.0,
16904,10,,2.75
16904,11,,1.75
16925,10,,2.5
16925,40,,2.0
16931,20,1.75,
16931,30,1.75,
16933,30,2.5,
16935,10,,3.0
16935,11,,2.0
16954,10,,
16956,10,3.25,
16973,20,2.0,
16973,30,2.0,
16973,31,,
16973,32,4.0,
16975,10,,3.25
16975,40,,1.75
16989,10,,3.0
16989,20,,2.0
16994,40,3.5,
16996,10,2.0,
16996,20,2.5,
17003,10,,
17027,40,2.0,
17028,10,2.0,
17031,10,,
17031,20,,
17038,30,,3.5
17041,10,,2.0
17042,10,1.75,
17042,20,2.25,
17049,10,,3.25
17049,20,,1.75
17050,20,,3.5
17050,30,,3.25
17061,10,1.25,
17075,10,2.25,
17075,20,2.5,
17077,40,,
17093,40,,2.0
17107,10,,1.75
17134,11,1.5,
17136,10,,2.5
17136,20,,1.75
17175,10,2.25,
17199,10,1.5,
17201,20,2.0,
17209,10,2.75,
17209,11,4.0,
17234,10,2.25,
17234,40,2.25,
17237,10,,1.5
17237,20,,2.0
17239,10,,
17239,20,,
17241,10,,2.75
17241,11,,1.75
17253,10,3.0,
17279,10,,1.5
17279,40,,2.0
17282,20,3.0,
17282,30,2.5,
17303,10,,
17319,10,2.5,
17328,40,2.0,
17356,10,,2.0
17356,20,,2.75
17363,10,,2.25
17366,10,,1.75
17366,20,,3.0
17371,10,,2.75
17383,10,,1.0
17383,11,,3.0
17388,10,,2.25
17392,10,2.25,
17392,40,2.75,
17425,10,,2.0
17425,40,,2.0
17428,10,,2.25
17458,10,,
17459,10,,2.0
17468,10,1.25,
17473,10,,2.25
17491,10,,3.75
17491,20,,2.5
17492,10,,
17492,40,2.75,
17506,20,,
17520,10,3.25,
17520,11,2.5,
17521,20,2.5,
17526,10,2.0,
17527,20,1.75,
17547,10,,1.75
17602,10,,
17623,10,,
17623,20,,
17626,10,,
17626,11,,2.0
17635,10,,2.0
17635,20,,
17641,10,,
17642,10,,
17653,10,,2.0
17653,40,,2.0
17661,30,1.5,
17674,30,,1.25
17707,40,,
17707,41,,
17714,20,3.75,
17715,10,,1.25
17715,20,,1.75
17750,10,,1.5
17750,20,,2.25
17773,10,2.75,
17773,40,2.75,
17785,30,,
17790,10,1.25,
17790,40,1.25,
17833,10,2.75,
17833,20,1.75,
17844,10,,
17862,10,,2.25
17862,40,,1.5
17922,10,1.75,
17923,10,3.75,
17923,11,2.0,
17924,10,,3.0
17924,40,,3.0
17933,10,2.0,
17933,20,1.75,
17952,10,3.0,
17952,40,2.5,
17978,10,,2.0
17978,20,,2.0
17980,10,,
17980,20,,
17986,20,,1.5
17986,30,,2.0
18034,10,,2.75
18052,10,,
18075,10,,2.0
18075,40,,1.5
18092,10,3.5,
18097,10,,1.5
18098,10,,2.0
18100,10,2.0,
18150,10,,1.75
18150,40,,2.0
18155,20,,1.25
18155,30,,1.5
18158,10,2.75,
18163,20,,2.0
18163,30,,3.25
18166,10,2.0,
18175,20,2.0,
18175,30,1.0,
18198,20,1.5,
18199,10,,2.25
18199,20,,1.75
18200,10,,
18204,20,,2.5
18210,10,,
18210,40,,2.75
18212,10,,2.5
18216,10,1.0,
18216,20,,
18229,10,,1.0
18243,10,2.75,
18245,10,1.75,
18245,20,,
18259,10,,2.0
18264,10,,3.0
18276,10,,1.0
18276,20,,1.5
18285,20,1.75,
18285,30,1.75,
18298,10,,2.75
18301,10,1.0,
18301,40,1.75,
18304,10,,1.75
18304,20,,1.75
18309,10,1.75,
18309,20,1.5,
18345,20,1.5,
18352,10,1.5,
18352,40,2.5,
18360,10,2.0,
18363,10,,3.75
18364,11,,
18417,10,,
18421,10,1.75,
18424,40,,
18435,40,3.75,
18435,42,1.0,
18439,10,,2.0
18439,40,,1.75
18442,10,,
18442,40,,
18443,10,,
18451,10,,1.0
18451,40,,2.25
18481,20,,2.0
18481,30,,2.0
18482,40,,
18482,41,,
18483,10,,2.25
18508,11,2.75,
18508,40,,
18525,20,,1.75
18525,30,,2.75
18531,30,2.0,
18536,10,1.5,
18539,10,,
18539,11,,
18566,10,3.0,
18566,20,,
18632,20,,1.25
18632,30,,1.5
18646,20,,1.75
18679,10,,2.5
18680,20,,
18686,20,2.0,
18686,30,2.75,
18707,20,,2.0
18733,10,1.75,
18733,20,,2.0
18734,10,,2.25
18739,10,2.25,
18739,40,4.0,
18742,10,,2.5
18742,40,,2.25
18758,10,2.25,
18759,10,,3.5
18774,10,,3.75
18774,20,,1.75
18776,10,1.5,
18776,40,2.0,
18779,10,,1.0
18779,11,,2.25
18782,10,4.0,
18782,40,1.0,
18808,10,,2.25
18808,20,,2.25
18828,10,,
18831,10,,
18865,10,1.25,
18877,10,,2.75
18889,10,1.75,
18889,40,3.25,
18896,10,1.5,
18896,40,1.5,
18918,11,2.0,
18918,40,,1.0
18918,41,,1.0
18950,10,,
18961,10,2.75,
18963,10,2.75,
18972,10,,
18972,11,1.5,
18973,10,,1.25
18973,40,,2.0
18983,20,1.0,
18983,30,1.75,
18990,10,,2.25
18990,40,,2.5
18992,10,,2.25
19031,20,1.75,
19047,20,,2.0
19047,30,,2.25
19049,10,,2.0
19050,10,,
19052,10,,2.5
19052,40,,2.0
19053,10,,3.0
19053,40,,2.5
19054,20,2.75,
19058,10,,
19065,10,2.5,
19065,20,1.25,
19110,10,,1.75
19110,20,,2.25
19133,10,,1.0
19142,30,2.5,
19187,20,,
19212,20,,2.25
19213,20,2.25,
19216,10,,2.0
19280,10,,2.5
19280,20,,3.0
19286,10,2.0,
19286,20,1.5,
19298,10,2.0,
19298,11,1.5,
19298,20,1.75,
19333,10,,2.25
19338,10,,2.0
19338,20,,2.25
19345,30,,2.0
19351,10,2.5,
19373,10,1.5,
19375,10,,
19389,10,,1.0
19389,40,,3.0
19403,10,,2.25
19424,10,2.25,
19433,30,1.5,
19433,40,3.25,
19442,40,,2.75
19454,10,1.75,
19454,20,3.0,
19458,10,,2.75
19458,40,,2.0
19489,10,,2.0
19496,10,,2.25
19496,20,,2.0
19501,10,,
19535,20,,1.0
19535,30,,2.0
19536,10,,
19536,40,,
19537,10,,2.0
19558,10,,1.5
19564,10,4.0,
19569,10,1.5,
19585,10,,
19620,10,,1.75
19621,10,,2.25
19621,40,,2.5
19625,20,,2.5
19625,30,,2.5
19626,10,,2.75
19626,20,,1.25
19629,20,,2.5
19629,30,,2.25
19637,10,1.5,
19657,10,,3.75
19657,20,,2.75
19662,10,2.25,
19687,10,,2.0
19687,40,,1.75
19704,10,,2.5
19704,11,,3.0
19705,10,,2.75
19705,20,,2.25
19715,10,1.5,
19715,40,3.0,
19738,10,1.75,
19738,20,,
19742,10,4.0,
19742,40,2.0,
19746,10,,4.0
19746,20,,2.75
19747,30,1.75,
19759,20,,2.0
19769,40,2.5,
19770,10,,
19773,10,2.25,
19773,11,2.75,
19786,10,,
19786,20,,
19796,10,3.75,
19806,20,,2.75
19822,10,2.25,
19826,10,,
19857,10,,2.0
19857,20,,1.75
19877,10,,2.25
19909,20,,
19935,10,,3.0
19935,11,,3.25
19950,10,,2.5
19973,10,2.0,
19973,40,1.75,
19976,10,2.0,
19976,20,1.5,
19992,40,,2.0
19995,10,,1.75
20004,10,2.0,
20041,10,,3.0
20042,10,,1.0
20077,10,1.25,
20077,40,1.5,
20079,10,,3.25
20079,20,,1.75
20080,30,,4.0
20093,10,1.0,
20093,40,1.5,
20093,41,,
20114,10,2.0,
20114,40,3.0,
20139,10,3.0,
20152,10,,1.0
20161,20,,1.25
20162,10,,2.75
20162,20,,1.5
20176,10,,2.0
20190,10,1.5,
20201,10,1.5,
20221,10,,1.0
20221,11,,
20238,10,,1.75
20247,10,1.75,
20248,10,2.25,
20248,40,2.25,
20256,40,,1.75
20259,10,,2.0
20259,20,,
20293,40,2.5,
20293,41,2.5,
20306,10,,
20306,20,1.25,
20315,20,3.25,
20315,30,1.25,
20316,10,2.5,
20316,20,3.0,
20346,10,2.5,
20346,20,1.5,
20363,10,,
20363,40,,1.5
20369,10,,1.75
20369,20,,2.0
20374,10,,2.0
20383,10,,4.0
20383,40,,3.75
20384,10,2.25,
20384,40,2.0,
20394,10,,
20397,10,2.0,
20442,10,1.25,
20442,20,1.75,
20446,10,1.75,
20446,20,2.25,
20448,20,1.25,
20448,30,2.0,
20455,20,2.0,
20459,10,,3.25
20459,20,,3.5
20471,10,,
20471,40,2.5,
20480,10,3.0,
20490,11,,
20501,10,,2.5
20511,10,,
20514,10,,
20524,10,2.0,
20524,20,1.25,
20527,10,2.5,
20527,40,1.75,
20540,20,1.75,
20554,10,2.25,
20554,20,1.75,
20557,11,,4.0
20558,10,1.75,
20558,20,1.25,
20559,20,,2.25
20559,30,,1.75
20560,10,,2.75
20560,20,,3.0
20561,10,1.75,
20561,40,2.5,
20575,10,1.5,
20588,20,,2.0
20588,30,,1.0
20592,10,2.0,
20608,10,2.0,
