HHID,PN,value_06,value_08
3,10,1.6,
3,20,2.4,
10001,10,,5.2
10003,30,5.0,
10004,10,4.4,
10004,40,2.6,
10013,10,3.4,
10013,40,4.8,
10038,10,3.0,
10038,40,1.4,
10050,10,2.0,
10059,20,1.6,
10059,30,,
10075,20,,1.4
10083,10,,
10083,20,,3.2
10097,40,,2.6
10109,30,2.2,
10147,10,1.0,
10196,10,2.4,
10206,10,,
10210,10,,3.8
10210,20,,4.6
10225,10,3.2,
10299,10,,4.0
10299,12,,
10372,10,,2.6
10394,10,,1.0
10394,40,,1.4
10395,10,,1.0
10395,20,,2.0
10397,10,,2.0
10397,40,,5.4
10404,10,3.0,
10433,10,,3.2
10451,10,2.2,
10451,20,3.0,
10453,10,1.2,
10453,20,1.6,
10475,10,,5.6
10475,11,,4.8
10477,10,,1.4
10477,20,,1.2
10481,10,4.4,
10481,20,4.2,
10482,10,,
10533,10,,4.0
10533,11,,
10537,10,1.8,
10565,20,,2.2
10568,10,,
10571,10,3.2,
10577,10,,5.0
10577,11,,1.6
10592,10,,3.2
10645,31,,3.8
10648,10,2.6,
10648,20,,
10652,10,3.2,
10672,31,,
10707,10,,3.6
10707,20,,4.6
10719,20,,
10756,10,,3.0
10756,11,,5.2
10769,10,2.4,
10769,40,2.6,
10773,20,,3.4
10773,30,,
10775,20,,3.8
10775,30,,4.2
10818,10,3.2,
10818,40,2.4,
10822,10,,2.4
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,5.2,
10917,10,3.0,
10941,10,4.2,
10962,10,,1.0
10989,10,2.0,
10989,20,2.0,
10994,10,,
11010,10,5.8,
11067,20,1.2,
11067,30,2.2,
11071,10,3.2,
11071,20,3.0,
11074,20,,2.2
11141,10,1.2,
11141,20,1.8,
11179,10,1.4,
11179,20,1.6,
11186,10,2.0,
11212,10,,
11230,10,2.8,
11248,10,1.4,
11253,10,,1.8
11256,10,2.2,
11256,40,1.6,
11277,10,1.0,
11332,10,,1.4
11332,20,,2.8
11333,20,2.8,
11333,30,2.0,
11341,10,2.2,
11345,10,,
11345,20,,
11347,20,2.0,
11347,30,2.2,
11368,10,,1.8
11368,20,,6.0
11377,10,,3.8
11377,40,,5.8
11378,10,1.8,
11378,20,1.2,
11379,20,1.2,
11387,20,1.8,
11423,10,,5.2
11466,40,,3.8
11467,10,,2.0
11477,10,,3.4
11479,40,,5.4
11506,10,,4.8
11563,10,,2.4
11575,20,3.4,
11582,20,3.0,
11590,20,1.0,
11608,10,2.8,
11608,40,1.6,
11611,10,,2.2
11620,10,3.2,
11620,40,2.4,
11626,10,,3.2
11626,11,,5.2
11656,10,,
11667,20,,3.4
11667,30,,2.2
11678,10,2.6,
11678,40,,4.2
11678,41,,3.2
11690,10,,1.2
11694,10,,3.0
11694,20,,
11716,10,,
11765,10,2.6,
11787,10,,6.6
11793,10,2.2,
11802,10,2.4,
11825,10,,4.0
11841,10,1.6,
11854,10,3.4,
11854,20,2.2,
11856,10,6.0,
11859,10,,4.8
11862,20,4.6,
11862,30,,4.2
11876,10,2.6,
11881,10,,4.4
11881,11,,2.4
11902,30,,
11902,31,,
11911,10,,5.0
11911,40,,2.4
11932,20,,2.0
11933,10,,2.4
11936,10,,4.4
11936,11,,5.4
11937,10,3.4,
11948,20,,5.4
11983,40,,2.0
11993,10,,1.0
11993,20,,2.0
11999,10,1.0,
11999,20,1.0,
12005,10,1.6,
12009,10,,2.0
12009,40,,3.4
12010,10,6.0,
12010,20,1.4,
12033,10,,4.4
12033,11,,3.0
12045,11,,1.2
12094,10,,3.4
12104,10,,3.4
12104,20,,2.4
12112,30,,2.4
12118,30,,2.6
12124,20,1.0,
12124,30,1.6,
12135,20,,2.2
12135,30,,4.8
12145,20,,2.6
12161,10,,2.8
12161,20,,1.4
12162,10,1.2,
12166,10,,
12166,40,,
12172,10,,2.4
12172,20,,1.2
12178,10,,
12179,10,,5.0
12183,10,2.8,
12195,10,,5.4
12196,10,,1.6
12196,20,,2.6
12218,10,,2.2
12218,20,,3.8
12223,20,,2.0
12232,10,3.8,
12232,40,5.0,
12235,10,2.0,
12235,40,5.0,
12242,10,2.4,
12242,20,2.0,
12243,20,,1.8
12243,30,,1.2
12252,20,3.0,
12273,10,,1.6
12273,40,,3.0
12274,10,,3.0
12274,20,,1.8
12276,20,,1.8
12276,30,,2.0
12280,20,,3.8
12280,30,,1.2
12285,10,,5.4
12292,10,3.4,
12302,10,2.2,
12310,10,4.2,
12310,11,2.0,
12315,10,3.2,
12315,40,3.2,
12318,10,,1.6
12319,10,2.0,
12344,10,,1.4
12344,20,,2.6
12393,20,1.6,
12393,30,,
12394,10,,3.2
12401,40,,5.0
12443,10,3.0,
12443,40,2.0,
12445,10,2.0,
12455,10,,
12458,20,1.0,
12474,40,,2.2
12479,10,,
12481,10,,4.4
12481,11,,3.6
12484,10,1.8,
12484,20,3.2,
12494,40,2.2,
12507,10,4.0,
