HHID,PN,value_06,value_08
3,10,1.0,
3,20,2.8,
10001,10,,2.8
10003,30,6.0,
10004,10,3.2,
10004,40,2.2,
10013,10,2.8,
10013,40,1.4,
10038,10,2.0,
10038,40,2.2,
10050,10,3.4,
10059,20,2.6,
10059,30,,
10075,20,,2.2
10083,10,,
10083,20,,3.8
10097,40,,1.0
10109,30,2.0,
10147,10,1.8,
10196,10,2.6,
10206,10,,2.0
10210,10,,2.2
10210,20,,1.8
10225,10,2.6,
10299,10,,2.6
10299,12,,
10372,10,,2.6
10394,10,,1.4
10394,40,,1.8
10395,10,,1.4
10395,20,,2.6
10397,10,,2.0
10397,40,,3.4
10404,10,2.2,
10433,10,,2.0
10451,10,1.6,
10451,20,1.6,
10453,10,1.0,
10453,20,2.0,
10475,10,,3.8
10475,11,,2.6
10477,10,,2.6
10477,20,,1.4
10481,10,3.0,
10481,20,1.4,
10482,10,,
10533,10,,1.4
10533,11,,
10537,10,2.6,
10565,20,,1.0
10568,10,,
10571,10,1.2,
10577,10,,2.4
10577,11,,1.8
10592,10,,1.2
10645,31,,1.4
10648,10,2.8,
10648,20,1.8,
10652,10,1.4,
10672,31,,
10707,10,,2.8
10707,20,,2.6
10719,20,,
10756,10,,1.8
10756,11,,2.6
10769,10,2.4,
10769,40,6.0,
10773,20,,3.0
10773,30,,3.6
10775,20,,
10775,30,,
10818,10,3.8,
10818,40,1.4,
10822,10,,5.4
10822,40,,2.4
10893,10,,
10896,10,,
10902,10,1.8,
10917,10,1.4,
10941,10,,
10962,10,,3.0
10989,10,,
10989,20,1.6,
10994,10,,
11010,10,4.2,
11067,20,1.2,
11067,30,2.8,
11071,10,2.2,
11071,20,2.6,
11074,20,,2.2
11141,10,1.4,
11141,20,1.6,
11179,10,1.2,
11179,20,1.4,
11186,10,1.0,
11212,10,,
11230,10,1.2,
11248,10,1.0,
11253,10,,2.2
11256,10,2.4,
11256,40,2.4,
11277,10,1.4,
11332,10,,1.4
11332,20,,2.2
11333,20,3.0,
11333,30,3.0,
11341,10,1.6,
11345,10,,
11345,20,,
11347,20,1.2,
11347,30,2.0,
11368,10,,2.0
11368,20,,2.4
11377,10,,2.0
11377,40,,1.4
11378,10,2.4,
11378,20,1.0,
11379,20,1.0,
11387,20,1.2,
11423,10,,
11466,40,,4.0
11467,10,,2.6
11477,10,,3.0
11479,40,,4.6
11506,10,,1.4
11563,10,,2.4
11575,20,3.0,
11582,20,1.0,
11590,20,1.0,
11608,10,1.0,
11608,40,6.0,
11611,10,,2.0
11620,10,2.0,
11620,40,2.0,
11626,10,,2.2
11626,11,,2.4
11656,10,,
11667,20,,4.2
11667,30,,1.8
11678,10,2.6,
11678,40,,1.8
11678,41,,1.0
11690,10,,1.0
11694,10,,1.0
11694,20,,
11716,10,,
11765,10,3.2,
11787,10,,3.8
11793,10,2.6,
11802,10,1.0,
11825,10,,1.2
11841,10,2.0,
11854,10,6.0,
11854,20,1.0,
11856,10,4.0,
11859,10,,2.8
11862,20,4.2,
11862,30,,2.6
11876,10,1.8,
11881,10,,2.2
11881,11,,2.0
11902,30,,
11902,31,,
11911,10,,1.8
11911,40,,1.8
11932,20,,2.0
11933,10,,1.2
11936,10,,4.8
11936,11,,5.0
11937,10,1.4,
11948,20,,2.0
11983,40,,5.0
11993,10,,2.8
11993,20,,3.2
11999,10,1.4,
11999,20,1.6,
12005,10,1.8,
12009,10,,2.0
12009,40,,2.6
12010,10,1.2,
12010,20,2.0,
12033,10,,2.2
12033,11,,1.6
12045,11,,1.4
12094,10,,1.0
12104,10,,2.8
12104,20,,2.6
12112,30,,1.0
12118,30,,5.2
