HHID,PN,value_06,value_08
3,10,1.0,
3,20,1.6,
10001,10,,1.3333333333333333
10003,30,5.0,
10004,10,2.0,
10004,40,1.0,
10013,10,1.6,
10013,40,1.6,
10038,10,1.0,
10038,40,1.8,
10050,10,2.4,
10059,20,1.4,
10059,30,,
10075,20,,1.1666666666666667
10083,10,,
10083,20,,1.6666666666666667
10097,40,,1.0
10109,30,1.0,
10147,10,1.0,
10196,10,2.0,
10206,10,,1.5
10210,10,,2.6666666666666665
10210,20,,4.666666666666667
10225,10,2.0,
10299,10,,1.3333333333333333
10299,12,,
10372,10,,1.6666666666666667
10394,10,,1.6666666666666667
10394,40,,1.8333333333333333
10395,10,,1.0
10395,20,,1.0
10397,10,,1.6666666666666667
10397,40,,1.5
10404,10,1.4,
10433,10,,1.0
10451,10,1.2,
10451,20,1.8,
10453,10,1.0,
10453,20,1.2,
10475,10,,1.8333333333333333
10475,11,,1.3333333333333333
10477,10,,1.6666666666666667
10477,20,,1.0
10481,10,1.2,
10481,20,2.2,
10482,10,,
10533,10,,1.1666666666666667
10533,11,,
10537,10,2.2,
10565,20,,1.0
10568,10,,
10571,10,1.0,
10577,10,,2.1666666666666665
10577,11,,3.0
10592,10,,1.3333333333333333
10645,31,,1.3333333333333333
10648,10,1.0,
10648,20,,
10652,10,0.8,
10672,31,,
10707,10,,1.8333333333333333
10707,20,,1.0
10719,20,,
10756,10,,1.0
10756,11,,1.8333333333333333
10769,10,1.0,
10769,40,1.0,
10773,20,,2.6666666666666665
10773,30,,3.0
10775,20,,
10775,30,,
10818,10,1.2,
10818,40,2.2,
10822,10,,1.0
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,2.0,
10917,10,1.0,
10941,10,2.0,
10962,10,,1.0
10989,10,2.2,
10989,20,1.0,
10994,10,,
11010,10,3.0,
11067,20,1.0,
11067,30,1.6,
11071,10,1.0,
11071,20,1.8,
11074,20,,1.1666666666666667
11141,10,1.0,
11141,20,1.2,
11179,10,1.6,
11179,20,1.2,
11186,10,1.0,
11212,10,,
11230,10,1.0,
11248,10,2.0,
11253,10,,1.6666666666666667
11256,10,2.6,
11256,40,2.6,
11277,10,1.0,
11332,10,,1.6666666666666667
11332,20,,1.3333333333333333
11333,20,2.6,
11333,30,1.6,
11341,10,1.0,
11345,10,,
11345,20,,
11347,20,1.2,
11347,30,2.0,
11368,10,,1.8333333333333333
11368,20,,1.3333333333333333
11377,10,,2.6666666666666665
11377,40,,1.1666666666666667
11378,10,1.8,
11378,20,1.0,
11379,20,1.2,
11387,20,1.0,
11423,10,,4.5
11466,40,,3.5
11467,10,,3.3333333333333335
11477,10,,1.0
11479,40,,1.6666666666666667
11506,10,,1.5
11563,10,,2.5
11575,20,1.2,
11582,20,1.0,
11590,20,1.0,
11608,10,1.6,
11608,40,1.0,
11611,10,,1.6666666666666667
11620,10,1.0,
11620,40,1.2,
11626,10,,1.0
11626,11,,1.0
11656,10,,
