HHID,PN,value_06,value_08
3,10,1.6666666666666667,
3,20,1.3333333333333333,
10001,10,,1.3333333333333333
10003,30,2.6666666666666665,
10004,10,2.3333333333333335,
10004,40,1.0,
10013,10,6.0,
10013,40,3.0,
10038,10,2.6666666666666665,
10038,40,1.3333333333333333,
10050,10,1.0,
10059,20,2.0,
10059,30,,
10075,20,,1.0
10083,10,,
10083,20,,5.0
10097,40,,1.0
10109,30,2.3333333333333335,
10147,10,1.0,
10196,10,4.666666666666667,
10206,10,,
10210,10,,4.666666666666667
10210,20,,2.6666666666666665
10225,10,1.0,
10299,10,,4.0
10299,12,,
10372,10,,2.0
10394,10,,1.0
10394,40,,1.3333333333333333
10395,10,,1.0
10395,20,,1.6666666666666667
10397,10,,2.0
10397,40,,4.333333333333333
10404,10,2.6666666666666665,
10433,10,,2.0
10451,10,1.0,
10451,20,2.0,
10453,10,1.0,
10453,20,2.0,
10475,10,,1.6666666666666667
10475,11,,3.0
10477,10,,2.0
10477,20,,1.3333333333333333
10481,10,2.6666666666666665,
10481,20,2.6666666666666665,
10482,10,,
10533,10,,3.0
10533,11,,
10537,10,3.3333333333333335,
10565,20,,2.6666666666666665
10568,10,,
10571,10,5.0,
10577,10,,3.3333333333333335
10577,11,,4.0
10592,10,,4.0
10645,31,,2.3333333333333335
10648,10,3.0,
10648,20,,
10652,10,1.0,
10672,31,,
10707,10,,2.0
10707,20,,2.6666666666666665
10719,20,,
10756,10,,2.6666666666666665
10756,11,,4.0
10769,10,2.0,
10769,40,1.0,
10773,20,,3.3333333333333335
10773,30,,4.333333333333333
10775,20,,
10775,30,,
10818,10,3.3333333333333335,
10818,40,1.0,
10822,10,,2.0
10822,40,,2.0
10893,10,,
10896,10,,
10902,10,1.0,
10917,10,1.0,
10941,10,2.0,
10962,10,,4.0
10989,10,2.0,
10989,20,1.0,
10994,10,,
11010,10,3.3333333333333335,
11067,20,1.0,
11067,30,1.0,
11071,10,3.6666666666666665,
11071,20,3.0,
11074,20,,5.333333333333333
11141,10,2.0,
11141,20,1.3333333333333333,
11179,10,1.0,
11179,20,2.6666666666666665,
11186,10,6.0,
11212,10,,
11230,10,4.0,
11248,10,4.333333333333333,
11253,10,,2.3333333333333335
11256,10,4.0,
11256,40,4.0,
11277,10,5.333333333333333,
11332,10,,4.0
11332,20,,1.3333333333333333
11333,20,4.0,
11333,30,1.3333333333333333,
11341,10,1.0,
11345,10,,
11345,20,,
11347,20,2.6666666666666665,
11347,30,2.3333333333333335,
11368,10,,4.333333333333333
11368,20,,5.333333333333333
11377,10,,3.6666666666666665
11377,40,,2.3333333333333335
11378,10,2.0,
11378,20,1.0,
11379,20,6.0,
11387,20,2.0,
11423,10,,6.0
11466,40,,3.0
11467,10,,5.333333333333333
11477,10,,1.6666666666666667
11479,40,,4.333333333333333
11506,10,,2.6666666666666665
11563,10,,2.3333333333333335
11575,20,2.6666666666666665,
11582,20,3.0,
11590,20,1.0,
11608,10,2.3333333333333335,
11608,40,1.0,
11611,10,,1.3333333333333333
11620,10,1.0,
11620,40,1.3333333333333333,
11626,10,,5.666666666666667
11626,11,,
11656,10,,
11667,20,,3.3333333333333335
11667,30,,2.0
11678,10,,
11678,40,,4.0
11678,41,,1.6666666666666667
11690,10,,4.333333333333333
11694,10,,
11694,20,,
11716,10,,
11765,10,1.6666666666666667,
11787,10,,3.3333333333333335
11793,10,5.0,
11802,10,1.6666666666666667,
11825,10,,4.333333333333333
11841,10,4.666666666666667,
11854,10,3.0,
11854,20,6.0,
11856,10,2.6666666666666665,
11859,10,,4.666666666666667
11862,20,3.0,
11862,30,,4.666666666666667
11876,10,4.666666666666667,
11881,10,,2.0
11881,11,,3.0
11902,30,,
11902,31,,
11911,10,,2.0
11911,40,,3.6666666666666665
11932,20,,1.0
11933,10,,1.0
11936,10,,2.0
11936,11,,2.6666666666666665
11937,10,,
11948,20,,3.3333333333333335
11983,40,,1.0
11993,10,,1.6666666666666667
11993,20,,3.3333333333333335
11999,10,2.3333333333333335,
11999,20,1.6666666666666667,
12005,10,,
12009,10,,1.6666666666666667
12009,40,,3.3333333333333335
