HHID,PN,value_06,value_08
000001,010,,
000002,010,,
000003,010,10.58860256139881,10.654903641220049
000003,020,10.58860256139881,10.654903641220049
010001,010,9.228965836099349,9.23600811872476
010003,020,,
010003,030,9.392661928770137,
010004,010,11.391887136593173,10.97356318306205
010004,040,11.391887136593173,10.97356318306205
010013,010,9.569133071885917,17.91009469148688
010013,040,10.896739325546411,9.787852208937204
010038,010,12.213048259266598,12.057038852082377
010038,040,12.213048259266598,12.057038852082377
010050,010,11.147065611454423,11.596420667457288
010059,020,13.040719388363819,13.369067193127552
010059,030,13.040719388363819,13.369067193127552
010063,010,9.244161920451694,
010075,020,10.137927063592189,9.47975663562107
010075,030,10.137927063592189,
010083,010,10.545249012673459,9.72245141991898
010083,020,10.545249012673459,9.72245141991898
010090,010,,
010094,010,,
010097,010,,
010097,040,,9.472704636443673
010099,010,,
010106,010,,
010106,020,,
010109,020,,
010109,030,12.501276359380801,11.678439903447801
010114,010,,
010124,010,,
010124,011,,
010147,010,8.99961934066053,9.056256356593467
010155,010,,
010196,010,9.254548626640503,8.881836305004146
010206,010,8.949494953477961,9.028818495352793
010210,010,9.004053937728395,9.181940897454485
010210,020,9.004053937728395,9.181940897454485
010217,010,,
010225,010,9.619797501353885,9.234837843576571
010237,020,,
010237,030,,
010240,010,,
010257,010,,
010281,010,9.450930836894113,
010281,020,9.450930836894113,
010299,010,10.305613759378778,10.337216125917152
010299,011,,8.006367567650246
010299,012,10.305613759378778,10.337216125917152
010325,010,,
010325,020,,
010346,010,,
010372,010,10.114558522616068,9.428993858017527
010378,010,,
010394,010,10.139349876258112,12.415036133270549
010394,040,10.139349876258112,12.415036133270549
010395,010,12.604177399232046,12.885627872570652
010395,020,12.604177399232046,12.885627872570652
010397,010,10.895164011316172,11.231355983360213
010397,040,10.895164011316172,11.231355983360213
010404,010,8.945071894361302,9.867653099526912
010405,010,,
010405,040,,
010410,010,,
010414,020,,
010414,030,,
010433,010,8.470730317005897,9.667891793282678
010433,040,,
010451,010,12.323411137947407,11.470017963958952
010451,020,12.323411137947407,11.470017963958952
010453,010,11.230748213152893,11.093158572151204
010453,020,11.230748213152893,11.093158572151204
010458,020,11.580584113444043,
010458,030,11.580584113444043,
010460,010,,
010465,010,9.655154390148258,
010465,020,,
010468,010,,
010468,020,,
010475,010,11.716029560946712,11.307584769552433
010475,011,11.716029560946712,11.307584769552433
010477,010,10.106428396532818,10.23369078606526
010477,020,10.106428396532818,10.23369078606526
010481,010,11.308603667896607,11.532728092266408
010481,020,11.308603667896607,11.532728092266408
010482,010,10.550590794594667,9.347664562839402
010533,010,10.94719520688953,10.438927737066038
010533,011,10.94719520688953,10.438927737066038
010533,020,,
010537,010,8.699514748210191,9.893437216682626
010537,011,,9.893437216682626
010546,010,9.021598247379305,
010556,010,,
010565,020,10.87970619299017,10.739328987433872
010565,030,,
010567,010,,
010568,010,9.064157861798101,9.846282078765348
010571,010,9.867653099526912,10.48189705562565
010571,020,,
010577,010,11.158961129724467,10.152376820268753
010577,011,11.158961129724467,10.264108424109933
010592,010,10.845056091594552,10.745830299457927
010600,010,4.605170185988092,
010602,010,,
010611,010,9.893437216682626,
010644,010,,
010644,040,,
010645,020,,
010645,030,11.131489334661426,
010645,031,11.131489334661426,10.896739325546411
010646,010,,
010646,020,,
010648,010,10.820817743984945,9.815748638228122
010648,020,10.820817743984945,9.815748638228122
010652,010,8.856518497019858,9.487972108574462
010671,010,,
010672,030,11.16336798880036,
010672,031,10.673595774232203,9.641863014403636
010677,010,,
010689,010,,
010689,020,,
010696,010,,10.726785417561118
010707,010,9.862665558015873,9.287301413112312
010707,020,9.862665558015873,9.287301413112312
010708,020,,
010708,030,,8.131530710604252
010719,020,8.1786387885907,8.578476419833136
010719,030,8.861633597686627,
010740,010,8.934848473025609,
010751,010,,
010752,010,,
010756,010,8.832295859444011,9.764225485202621
010756,011,8.832295859444011,9.764225485202621
010766,010,,
010769,010,11.25075518168717,11.127262984158243
010769,040,11.25075518168717,11.127262984158243
010773,020,10.992116843150836,11.049682927942396
010773,030,10.992116843150836,11.049682927942396
010775,020,11.250586200190243,11.438923283925039
010775,030,11.250586200190243,11.438923283925039
010776,010,9.86141477611422,
010781,010,,11.642478956225528
010781,040,,11.642478956225528
010818,010,12.541615879333294,11.466001558258505
010818,040,12.541615879333294,11.466001558258505
010821,030,,
010822,010,11.619984537263637,12.407314087176639
010822,040,11.619984537263637,12.407314087176639
010853,010,,
010893,010,11.411999546380267,11.806460376097245
010896,010,11.11495222262036,9.977109692406742
010902,010,10.625319366955983,10.173514689749188
010917,010,9.205126804923296,9.230142999272362
010923,020,,
010923,021,,
010923,030,,
010926,010,,
010926,040,,
010929,010,,
010929,040,,
010941,010,9.2850767180902,9.287301413112312
010951,010,,
010956,010,,
010956,040,,
010962,010,11.060463084501153,10.482681853020042
010962,040,,
010989,010,11.839722475750563,10.862761142582137
010989,020,11.839722475750563,10.862761142582137
010990,010,,
010990,040,,
