HHID,PN,value_06,value_08
000001,010,,
000002,010,,
000003,010,12.483704382128453,12.91410843858387
000003,020,12.483704382128453,12.91410843858387
010001,010,13.815510557964274,13.815510557964274
010003,020,,
010003,030,9.392661928770137,
010004,010,13.274225726713574,13.962204937115077
010004,040,13.274225726713574,13.962204937115077
010013,010,3.912023005428146,
010013,040,13.534473028231162,13.437174117244362
010038,010,14.115615150414612,13.8878312195439
010038,040,14.115615150414612,13.8878312195439
010050,010,13.334791941527644,13.167846122744432
010059,020,16.13593556908665,16.22425584678671
010059,030,16.13593556908665,16.22425584678671
010063,010,,
010075,020,8.517193191416238,
010075,030,8.517193191416238,
010083,010,,
010083,020,,
010090,010,,
010094,010,,
010097,010,,
010097,040,13.534473028231162,13.596109992928898
010099,010,,
010106,010,,
010106,020,,
010109,020,,
010109,030,15.959451557518722,14.249239131345298
010114,010,,
010124,010,,
010124,011,,
010147,010,,
010155,010,,
010196,010,,
010206,010,,
010210,010,,
010210,020,,
010217,010,,
010225,010,10.203592144986466,7.600902459542082
010237,020,,
010237,030,,
010240,010,,
010257,010,,
010281,010,6.396929655216146,
010281,020,6.396929655216146,
010299,010,11.251560700835821,10.941995917134532
010299,011,,11.198214720130528
010299,012,11.251560700835821,10.941995917134532
010325,010,,
010325,020,,
010346,010,,
010372,010,,
010378,010,,
010394,010,13.401509118833824,13.36138027787483
010394,040,13.401509118833824,13.36138027787483
010395,010,15.13673292234045,15.194276652663373
010395,020,15.13673292234045,15.194276652663373
010397,010,13.981872095179499,14.136143730555741
010397,040,13.981872095179499,14.136143730555741
010404,010,13.569610019527449,13.527828485512494
010405,010,,
010405,040,,
010410,010,,
010414,020,,
010414,030,,
010433,010,12.877753565723523,12.122691036591123
010433,040,,
010451,010,12.945626198904275,12.296827008798639
010451,020,12.945626198904275,12.296827008798639
010453,010,13.240857271452118,13.15676480412166
010453,020,13.240857271452118,13.15676480412166
010458,020,13.038981768465277,
010458,030,13.038981768465277,
010460,010,,
010465,010,11.759785542901755,
010465,020,,
010468,010,,
010468,020,,
010475,010,13.837272049745787,13.249876697703288
010475,011,13.837272049745787,13.249876697703288
010477,010,13.598845972747773,13.524654119205342
010477,020,13.598845972747773,13.524654119205342
010481,010,12.0015054797889,12.230765258120545
010481,020,12.0015054797889,12.230765258120545
010482,010,9.433483923290392,8.294049640102028
010533,010,8.809862805379057,
010533,011,8.809862805379057,
010533,020,,
010537,010,,
010537,011,,
010546,010,,
010556,010,,
010565,020,9.9281801651265,8.517193191416238
010565,030,,
010567,010,,
010568,010,10.165851817003619,6.907755278982137
010571,010,11.703545824578878,12.556729517143344
010571,020,,
010577,010,9.314700387300425,
010577,011,9.314700387300425,14.665661487333884
010592,010,12.111984275276273,11.55980905086908
010600,010,,
010602,010,,
010611,010,8.987196820661973,
010644,010,,
010644,040,,
010645,020,,
010645,030,12.95370801137419,
010645,031,12.95370801137419,11.233872719216501
010646,010,,
010646,020,,
010648,010,12.367340793126296,12.845555301504426
010648,020,12.367340793126296,12.845555301504426
010652,010,,4.0943445622221
010671,010,,
010672,030,,
010672,031,11.238488619268468,9.615805480084347
010677,010,,
010689,010,,
010689,020,,
010696,010,,9.615805480084347
010707,010,12.128748738566204,11.911701584927597
010707,020,12.128748738566204,11.911701584927597
010708,020,,
010708,030,,11.77528972943772
010719,020,7.600902459542082,
010719,030,,
010740,010,7.313220387090301,
010751,010,,
010752,010,,
010756,010,,
010756,011,,
010766,010,,
010769,010,13.379328477194049,13.53843866462451
010769,040,13.379328477194049,13.53843866462451
010773,020,13.102160670086809,13.126355398673866
010773,030,13.102160670086809,13.126355398673866
010775,020,14.547878451677501,14.356671381526338
010775,030,14.547878451677501,14.356671381526338
010776,010,13.331326865144705,
010781,010,,13.989463865087712
010781,040,,13.989463865087712
010818,010,13.39239051461739,13.060487973686241
010818,040,13.39239051461739,13.060487973686241
010821,030,,
010822,010,15.115702220030753,15.327335641531374
010822,040,15.115702220030753,15.327335641531374
010853,010,,
010893,010,14.339647195789937,14.015180753092842
010896,010,12.162643087602838,9.305650551780507
010902,010,8.973604867142505,
010917,010,,
010923,020,,
010923,021,,
010923,030,,
010926,010,,
010926,040,,
010929,010,,
010929,040,,
010941,010,12.283033686666302,
010951,010,,
010956,010,,
010956,040,,
010962,010,9.634103708365723,11.272126978417297
010962,040,,
010989,010,13.46197354271647,13.428081812342208
010989,020,13.46197354271647,13.428081812342208
010990,010,,
010990,040,,
010994,010,7.600902459542082,8.294049640102028
011010,010,2.70805020110221,5.0106352940962555
011067,020,13.489780417874963,13.412043452518782
011067,030,13.489780417874963,13.412043452518782
011071,010,12.667130127062043,12.862067954080317
011071,020,12.667130127062043,12.862067954080317
011074,020,13.296316684527767,13.030248088496522
011074,030,,
011141,010,13.804175558900399,14.246643412821017
011141,020,13.804175558900399,14.246643412821017
011147,010,,
011155,010,,
011179,010,12.45215116812688,11.59910316121128
011179,020,12.45215116812688,11.59910316121128
011186,010,,2.995732273553991
