hhid,pn,value_06,value_08
1,10,,
2,10,,
3,10,,
3,20,,
10001,10,,
10003,20,,
10003,30,,
10004,10,,
10004,40,,
10013,10,,
10013,40,,
10038,10,1.0,1.0
10038,40,2.0,2.0
10050,10,,
10059,20,2.0,2.0
10059,30,,
10063,10,,
10075,20,,
10075,30,,
10083,10,,
10083,20,,
10090,10,,
10094,10,,
10097,10,,
10097,40,,
10099,10,,
10106,10,,
10106,20,,
10109,20,,
10109,30,,
10114,10,,
10124,10,,
10124,11,,
10147,10,,
10155,10,,
10196,10,,
10206,10,,
10210,10,,
10210,20,,
10217,10,,
10225,10,,
10237,20,,
10237,30,,
10240,10,,
10257,10,,
10281,10,,
10281,20,,
10299,10,,
10299,11,,
10299,12,,
10325,10,,
10325,20,,
10346,10,,
10372,10,,
10378,10,,
10394,10,3.0,3.0
10394,40,3.0,1.0
10395,10,,
10395,20,,
10397,10,,
10397,40,3.0,3.0
10404,10,,
10405,10,,
10405,40,,
10410,10,,
10414,20,,
10414,30,,
10433,10,,
10433,40,,
10451,10,,
10451,20,,
10453,10,,
10453,20,,
10458,20,3.0,
10458,30,,
10460,10,,
10465,10,,
10465,20,,
10468,10,,
10468,20,,
10475,10,2.0,2.0
10475,11,2.0,2.0
10477,10,,
10477,20,,
10481,10,2.0,2.0
10481,20,,
10482,10,,
10533,10,,
10533,11,,
10533,20,,
10537,10,,
10537,11,,
10546,10,,
10556,10,,
10565,20,,
10565,30,,
10567,10,,
10568,10,,
10571,10,,
10571,20,,
10577,10,4.0,
10577,11,3.0,3.0
10592,10,,
10600,10,,
10602,10,,
10611,10,,
10644,10,,
10644,40,,
10645,20,,
10645,30,2.0,
10645,31,,
10646,10,,
10646,20,,
10648,10,,6.0
10648,20,3.0,3.0
10652,10,,
10671,10,,
10672,30,,
10672,31,,
10677,10,,
10689,10,,
10689,20,,
10696,10,,
10707,10,,
10707,20,,
10708,20,,
10708,30,,
10719,20,,
10719,30,,
10740,10,,
10751,10,,
10752,10,,
10756,10,,
10756,11,,
10766,10,,
10769,10,2.0,2.0
10769,40,,
10773,20,2.0,2.0
10773,30,,5.0
10775,20,,
10775,30,,
10776,10,,
10781,10,,
10781,40,,
10818,10,2.0,2.0
10818,40,,
10821,30,,
10822,10,,
10822,40,1.0,1.0
10853,10,,
10893,10,,
10896,10,,
10902,10,,
10917,10,,
10923,20,,
10923,21,,
10923,30,,
10926,10,,
